date,South Carolina-apple-driving,South Carolina-apple-walking,South Carolina-google-retail_and_recreation,South Carolina-google-grocery_and_pharmacy,South Carolina-google-parks,South Carolina-google-transit_stations,South Carolina-google-workplaces,South Carolina-google-residential,South Carolina-jh_beta_7,South Carolina-jh_gamma_7,South Carolina-cdc_beta_7,South Carolina-cdc_gamma_7,South Carolina-jh_beta_14,South Carolina-jh_gamma_14,South Carolina-cdc_beta_14,South Carolina-cdc_gamma_14,South Carolina-jh_beta_30,South Carolina-jh_gamma_30,South Carolina-cdc_beta_30,South Carolina-cdc_gamma_30,South Carolina-census_pop,South Carolina-jh_confirmed,South Carolina-jh_death,South Carolina-cdc_confirmed,South Carolina-cdc_death,South Carolina-jh_confirmed_ratio,South Carolina-jh_death_ratio,South Carolina-cdc_confirmed_ratio,South Carolina-cdc_death_ratio
01-19-2021,115.63,115.98,-17.0,-7.0,-13.0,-15.0,-26.0,9.0,0.0250000007560917,3.7669376082656e-05,0.0250000010931177,5.069774085409492e-05,0.0250000341080135,0.0001402313964904,0.0250000475924028,0.0001822792084399,0.0250000123832551,0.0001133158474935,0.0250000161108596,0.0001443734174827,5148714,394318,6259,416125,6716,0.0765857260667421,0.001215643362595,0.0808211526218003,0.0013044033908273
01-20-2021,114.26,114.58,-19.0,-12.0,-15.0,-17.0,-26.0,9.0,0.025000000785099,3.963786477595615e-05,0.0250000011365836,5.358316302334926e-05,0.0250000361839594,0.0001494771338132,0.0250000477455267,0.0001913844700219,0.0250000123803922,0.0001133834469627,0.0250000161728982,0.0001451385581211,5148714,399843,6328,419634,6812,0.0776588095590471,0.0012290447672952,0.0815026820289493,0.0013230488234537
01-21-2021,119.85,115.2,-20.0,-12.0,-25.0,-17.0,-26.0,10.0,0.0250000007965966,4.056209121973099e-05,0.0250000011226966,5.345374975905992e-05,0.0250000302234996,0.0001391258212023,0.0250000395542426,0.000179872177557,0.0250000126114526,0.0001155820861675,0.025000016552489,0.0001487660571254,5148714,404492,6373,424533,6880,0.0785617534786356,0.0012377848138389,0.0824541817626692,0.0013362560048975
01-22-2021,137.92,141.48,-19.0,-10.0,-24.0,-19.0,-24.0,8.0,0.0250000008679189,4.401492827393558e-05,0.0250000011231089,5.378656235928072e-05,0.0250000254781602,0.0001302064905586,0.0250000325696607,0.000169056239303,0.0250000130056933,0.0001194066592018,0.025000017063327,0.0001536970810219,5148714,409188,6404,429482,6921,0.0794738258912808,0.0012438057347912,0.0834153926592154,0.001344219158415
01-23-2021,135.49,161.19,-17.0,-9.0,7.0,-20.0,-10.0,5.0,0.025000000722591,3.8216939321780976e-05,0.0250000010066697,4.920650073460214e-05,0.025000023307898,0.0001321064223207,0.0250000271047669,0.0001703586985736,0.0250000127549225,0.0001173802875993,0.0250000168778622,0.0001523682491178,5148714,413789,6479,434149,7006,0.080367447094556,0.0012583724790306,0.0843218325974214,0.0013607281352197
01-24-2021,97.59,93.75,-19.0,-11.0,-11.0,-15.0,-16.0,5.0,0.0250000006855781,3.6412654633188304e-05,0.0250000009397826,4.61744535950444e-05,0.025000019966065,0.0001274529301953,0.0250000213255224,0.0001619863203259,0.0250000131060996,0.0001208829835164,0.0250000172878989,0.0001565491422908,5148714,418325,6547,438819,7080,0.081248443786157,0.0012715796604744,0.0852288552053969,0.0013751006562026
01-25-2021,111.19,106.82,-20.0,-13.0,-19.0,-20.0,-24.0,9.0,0.0250000005142889,2.8614551858193184e-05,0.0250000007500032,3.768805299209383e-05,0.0250000182291786,0.0001265582575017,0.0250000164029796,0.0001620839844164,0.0250000138239503,0.0001275816095582,0.0250000167500664,0.0001518349442224,5148714,421417,6552,442198,7093,0.0818489820953348,0.001272550776757,0.0858851355891976,0.0013776255585375
01-26-2021,114.82,108.52,-18.0,-11.0,-20.0,-17.0,-25.0,9.0,0.0250000005947,3.232650007822998e-05,0.025000000843878,4.219664253184535e-05,0.0250000177596965,0.0001339809157841,0.02500000777539,0.0001609350929366,0.0250000131957909,0.0001220169580261,0.025000017100223,0.0001557257935655,5148714,423667,6578,444569,7127,0.0822859844225179,0.0012776005814267,0.0863456389304203,0.0013842291492594
01-27-2021,112.04,105.91,-20.0,-14.0,-34.0,-19.0,-26.0,10.0,0.0250000006594414,3.55796022696272e-05,0.0250000009094588,4.568027425045033e-05,0.0250000166915103,0.000136198430981,0.0250000079252242,0.0001654674007588,0.0250000130174979,0.0001211599630208,0.025000017283949,0.0001583399081194,5148714,427231,6673,448182,7231,0.0829781961087759,0.0012960517907966,0.087047367556248,0.001404428367938
01-28-2021,123.1,119.57,-17.0,-11.0,-20.0,-15.0,-25.0,9.0,0.0250000006297809,3.399543170452544e-05,0.025000000825935,4.182282271642106e-05,0.0250000138689636,0.0001341455489468,0.0250000078311431,0.0001638420803156,0.0250000133465492,0.0001244703736332,0.0250000175826788,0.0001615244139481,5148714,431169,6903,452635,7298,0.0837430472929745,0.0013407231397976,0.0879122437175574,0.0014174413261253
01-29-2021,143.81,147.69,-16.0,-11.0,-19.0,-16.0,-24.0,8.0,0.025000000830254,4.0258270894165376e-05,0.0250000008265984,4.151859647147061e-05,0.0250000141111239,0.0001449760580898,0.0250000078180505,0.0001637265188704,0.0250000137810247,0.000128176041459,0.0250000178027163,0.0001640624924563,5148714,435633,6942,456784,7346,0.0846100599101057,0.0013482978468021,0.088718076008883,0.0014267640424385
