date,Wyoming-apple-driving,Wyoming-apple-walking,Wyoming-google-retail_and_recreation,Wyoming-google-grocery_and_pharmacy,Wyoming-google-parks,Wyoming-google-transit_stations,Wyoming-google-workplaces,Wyoming-google-residential,Wyoming-jh_beta_7,Wyoming-jh_gamma_7,Wyoming-cdc_beta_7,Wyoming-cdc_gamma_7,Wyoming-jh_beta_14,Wyoming-jh_gamma_14,Wyoming-cdc_beta_14,Wyoming-cdc_gamma_14,Wyoming-jh_beta_30,Wyoming-jh_gamma_30,Wyoming-cdc_beta_30,Wyoming-cdc_gamma_30,Wyoming-census_pop,Wyoming-jh_confirmed,Wyoming-jh_death,Wyoming-cdc_confirmed,Wyoming-cdc_death,Wyoming-jh_confirmed_ratio,Wyoming-jh_death_ratio,Wyoming-cdc_confirmed_ratio,Wyoming-cdc_death_ratio
01-01-2021,139.95,181.88,-41.0,-31.0,2.0,-17.0,-68.0,23.0,0.0250000008518203,3.977742960413874e-05,0.0250000008518203,3.977742960413874e-05,0.0250000038552988,7.835597292867249e-05,0.0250000038552988,7.835597292867249e-05,0.0250000142856698,0.0001345895898668,0.025000015273975,0.0001437042445796,578759,44409,438,44409,438,0.0767314201593409,0.0007567916870407,0.0767314201593409,0.0007567916870407
01-02-2021,161.69,181.41,-21.0,-7.0,-13.0,-7.0,-16.0,7.0,0.0250000010866787,4.970381668926647e-05,0.0250000010866787,4.970381668926647e-05,0.0250000047334231,9.513960889189322e-05,0.0250000047334231,9.513960889189322e-05,0.0250000147418295,0.0001389601700488,0.0250000157127438,0.0001480154704068,578759,44573,438,44573,438,0.0770147850832557,0.0007567916870407,0.0770147850832557,0.0007567916870407
01-03-2021,147.82,165.63,-19.0,-14.0,-24.0,-13.0,-14.0,6.0,0.0250000012485516,5.786565196948691e-05,0.0250000012485516,5.786565196948691e-05,0.0250000150065897,0.0001204391845956,0.0250000150065897,0.0001204391845956,0.0250000122846245,0.000115436654713,0.0250000132406353,0.0001244418473726,578759,44875,438,44875,438,0.0775365912236354,0.0007567916870407,0.0775365912236354,0.0007567916870407
01-04-2021,133.9,192.03,-7.0,3.0,1.0,-1.0,-18.0,5.0,0.0250001161319857,0.0002501573584224,0.0250001161319857,0.0002501573584224,0.0250000153377982,0.0001334721226706,0.0250000153377982,0.0001334721226706,0.0250000126373819,0.0001192472290324,0.0250000135764822,0.0001281729241734,578759,45257,438,45247,438,0.0781966241561686,0.0007567916870407,0.0781793458071494,0.0007567916870407
01-05-2021,141.49,185.46,-14.0,-3.0,-13.0,-13.0,-16.0,7.0,0.0250000006675696,3.638092118862739e-05,0.0250000006675696,3.638092118862739e-05,0.0250000064625702,0.0001337326132813,0.0250000064625702,0.0001337326132813,0.0250000131050485,0.0001240270444752,0.0250000140397894,0.0001329685973925,578759,45569,464,45569,464,0.0787357086455675,0.0008017153944906,0.0787357086455675,0.0008017153944906
01-06-2021,137.47,180.55,-15.0,-5.0,-3.0,-4.0,-18.0,6.0,0.0250000009035826,4.51877226813724e-05,0.0250000009035826,4.51877226813724e-05,0.0250000052803646,0.0001070343543614,0.0250000052803646,0.0001070343543614,0.0250000137134514,0.0001296234195729,0.0250000146386168,0.0001385233001242,578759,45890,464,45890,464,0.0792903436490836,0.0008017153944906,0.0792903436490836,0.0008017153944906
01-07-2021,134.31,182.9,-17.0,-5.0,-8.0,-7.0,-17.0,7.0,0.025000001067073,5.19529343977184e-05,0.025000001067073,5.19529343977184e-05,0.0250000059764626,0.0001221054908996,0.0250000059764626,0.0001221054908996,0.0250000117845028,0.0001111444310451,0.0250000126913013,0.0001199130905235,578759,46168,489,46168,489,0.0797706817518172,0.0008449112670386,0.0797706817518172,0.0008449112670386
01-08-2021,149.8,199.02,-20.0,-10.0,-10.0,0.0,-11.0,8.0,0.0250000006216318,3.0595625640030744e-05,0.0250000006216318,3.0595625640030744e-05,0.0250000069764341,0.0001417461453877,0.0250000069764341,0.0001417461453877,0.0250000124631758,0.0001172245237394,0.0250000133574227,0.0001258982336123,578759,46647,489,46647,489,0.0805983146698366,0.0008449112670386,0.0805983146698366,0.0008449112670386
01-09-2021,144.97,194.2,-20.0,-8.0,-14.0,-1.0,-10.0,6.0,0.02500000083858,3.95363935690304e-05,0.02500000083858,3.95363935690304e-05,0.0250000077889683,0.0001589950644862,0.0250000077889683,0.0001589950644862,0.0250000120917945,0.000113389620238,0.0250000120917945,0.000113389620238,578759,46719,489,46719,489,0.0807227187827748,0.0008449112670386,0.0807227187827748,0.0008449112670386
01-10-2021,124.71,141.41,-14.0,-12.0,-13.0,-7.0,-12.0,5.0,0.025000000981419,4.672903558810145e-05,0.025000000981419,4.672903558810145e-05,0.0250000085180887,0.0001756291108389,0.0250000085180887,0.0001756291108389,0.0250000126522971,0.0001188366853626,0.0250000126522971,0.0001188366853626,578759,46832,489,46832,489,0.0809179641266917,0.0008449112670386,0.0809179641266917,0.0008449112670386
