date,New York-apple-driving,New York-apple-walking,New York-google-retail_and_recreation,New York-google-grocery_and_pharmacy,New York-google-parks,New York-google-transit_stations,New York-google-workplaces,New York-google-residential,New York-jh_beta_7,New York-jh_gamma_7,New York-cdc_beta_7,New York-cdc_gamma_7,New York-jh_beta_14,New York-jh_gamma_14,New York-cdc_beta_14,New York-cdc_gamma_14,New York-jh_beta_30,New York-jh_gamma_30,New York-cdc_beta_30,New York-cdc_gamma_30,New York-census_pop,New York-jh_confirmed,New York-jh_death,New York-cdc_confirmed,New York-cdc_death,New York-jh_confirmed_ratio,New York-jh_death_ratio,New York-cdc_confirmed_ratio,New York-cdc_death_ratio
02-07-2021,59.86,40.64,-52.0,-31.0,-46.0,-56.0,-25.0,10.0,0.025000000572464,3.170596785966578e-05,0.025,1e-05,0.0250000172156551,0.0001214158647421,0.0250000015539379,3.87388640385317e-05,0.0250000139537177,0.0001301960376189,0.0249999889728638,0.0001422283035915,19453561,1480224,44657,842972,16863,0.0760901307477844,0.0022955694332775,0.0433325291960685,0.0008668335838358
02-08-2021,86.1,53.95,-37.0,-19.0,-43.0,-52.0,-40.0,14.0,0.0250000005737926,3.168173642800992e-05,0.025,1e-05,0.0250000157342933,0.0001191130772797,0.0250000015441038,3.85791693461919e-05,0.0250000137147559,0.0001284712929166,0.0249999809914168,0.000138035127438,19453561,1489196,44781,846873,16925,0.0765513316559369,0.0023019435876033,0.0435330580349787,0.0008700206609987
02-09-2021,86.05,54.58,-39.0,-18.0,-45.0,-51.0,-40.0,15.0,0.0250000005686588,3.15545791140078e-05,0.025,1e-05,0.0250000140059674,0.0001151095902699,0.0250000015044032,3.784810433385993e-05,0.0250000134043918,0.000126053403737,0.0249999755505234,0.0001332081229859,19453561,1497475,44951,850387,17009,0.0769769092661235,0.002310682347566,0.0437136933438561,0.0008743386365097
02-10-2021,94.75,59.69,-32.0,-11.0,-37.0,-49.0,-37.0,14.0,0.02500000056553,3.147273079321378e-05,0.025,1e-05,0.0250000128242028,0.0001134076660589,0.0250000014718663,3.724752469086624e-05,0.0250000132148807,0.0001247370290543,0.0249999701500403,0.0001303873972324,19453561,1504059,45123,854170,17084,0.0773153562990344,0.0023195239164695,0.0439081564552628,0.0008781939717874
02-11-2021,95.2,59.2,-34.0,-13.0,-40.0,-50.0,-37.0,14.0,0.0250000005673202,3.1568051149045645e-05,0.025,1e-05,0.0250000119237971,0.0001129692614614,0.0250000014241623,3.6336924771012655e-05,0.0250000129339479,0.0001224696433802,0.0249999666314659,0.0001271933035736,19453561,1514070,45263,859076,17153,0.0778299664519005,0.0023267205423212,0.0441603467868941,0.0008817408802429
02-12-2021,113.74,76.59,-34.0,-11.0,-45.0,-51.0,-38.0,15.0,0.0250000005735721,3.192483244908645e-05,0.025,1e-05,0.0250000104084314,0.0001091133349016,0.025000001382132,3.55546221234015e-05,0.0250000126887419,0.0001205694622178,0.0249999631991987,0.0001238597049451,19453561,1522785,45410,863285,17227,0.0782779564111681,0.0023342769994655,0.0443767082026781,0.0008855448110502
02-13-2021,109.63,84.71,-29.0,-3.0,-34.0,-45.0,-18.0,7.0,0.0250000005652813,3.165481960069344e-05,0.025,1e-05,0.0250000045110422,9.69542593188312e-05,0.0250000013732903,3.545522410368818e-05,0.0250000124902345,0.0001191146648411,0.0249999609107162,0.0001201742138242,19453561,1531540,45566,867467,17286,0.0787280025492505,0.0023422960968431,0.0445916816977621,0.000888577674802
02-14-2021,91.77,76.45,-28.0,-13.0,-26.0,-45.0,-19.0,7.0,0.0250000005361113,3.043733113626954e-05,0.025,1e-05,0.0250000044866141,9.65872718913963e-05,0.0250000013670328,3.543535270288738e-05,0.0250000120795228,0.0001155832616488,0.0249999601291691,0.0001157243573147,19453561,1539870,45700,871661,17346,0.0791562017874259,0.0023491842958726,0.0448072720464906,0.0008916619430242
02-15-2021,81.73,55.56,-34.0,-18.0,-43.0,-58.0,-54.0,18.0,0.0250000005163866,2.9661078677765382e-05,0.025,1e-05,0.0250000044322024,9.563093885992164e-05,0.0250000013439402,3.5079181450781715e-05,0.0250000117185724,0.0001126404054014,0.0249999578261676,0.0001113031418325,19453561,1546408,45816,874571,17396,0.0794922842146998,0.0023551472144354,0.0449568590552649,0.0008942321665426
02-16-2021,86.05,59.15,-39.0,-21.0,-33.0,-52.0,-45.0,16.0,0.0250000005260895,3.0221960137589904e-05,0.025,1e-05,0.025000004377124,9.475862417667984e-05,0.0250000013124776,3.4571059836714595e-05,0.0250000114896504,0.0001109176337739,0.0249999559912887,0.0001082163881887,19453561,1553117,45950,877624,17440,0.0798371568064068,0.0023620354134649,0.0451137969033021,0.0008964939632389
