date,New Mexico-apple-driving,New Mexico-apple-walking,New Mexico-google-retail_and_recreation,New Mexico-google-grocery_and_pharmacy,New Mexico-google-parks,New Mexico-google-transit_stations,New Mexico-google-workplaces,New Mexico-google-residential,New Mexico-jh_beta_7,New Mexico-jh_gamma_7,New Mexico-cdc_beta_7,New Mexico-cdc_gamma_7,New Mexico-jh_beta_14,New Mexico-jh_gamma_14,New Mexico-cdc_beta_14,New Mexico-cdc_gamma_14,New Mexico-jh_beta_30,New Mexico-jh_gamma_30,New Mexico-cdc_beta_30,New Mexico-cdc_gamma_30,New Mexico-census_pop,New Mexico-jh_confirmed,New Mexico-jh_death,New Mexico-cdc_confirmed,New Mexico-cdc_death,New Mexico-jh_confirmed_ratio,New Mexico-jh_death_ratio,New Mexico-cdc_confirmed_ratio,New Mexico-cdc_death_ratio
01-01-2021,102.72,106.81,-47.0,-34.0,-23.0,-37.0,-70.0,24.0,0.0250000008119359,4.0046715435136856e-05,0.0250000008499421,4.178303196597176e-05,0.0250000621136524,0.0001742468153658,0.025000082541004,0.0002060407167069,0.0250000252390904,0.000224261421446,0.0250000315814456,0.0002809736507474,2096829,144142,2502,144142,3056,0.0687428493215231,0.0011932303492559,0.0687428493215231,0.0014574388278681
01-02-2021,128.95,132.79,-30.0,-13.0,-22.0,-17.0,-23.0,10.0,0.0250000007964127,3.926230180940893e-05,0.025000000851714,4.17957883661576e-05,0.025000060654299,0.0001749240230815,0.025000073917692,0.0001974029084756,0.0250000243921219,0.0002169589395539,0.0250000304478987,0.0002715582615084,2096829,145379,2534,145379,3079,0.0693327877475941,0.0012084914888147,0.0693327877475941,0.001468407771926
01-03-2021,107.79,107.04,-30.0,-16.0,-19.0,-10.0,-18.0,8.0,0.0250000009227651,4.454841523635781e-05,0.0250000008410384,4.148155497723792e-05,0.0250000586492158,0.000174714530313,0.0250000712164681,0.000198141247904,0.0250000233444516,0.0002078396480119,0.0250000295026448,0.0002640677278968,2096829,146394,2551,146394,3108,0.0698168520179757,0.0012165989692054,0.0698168520179757,0.0014822381796512
01-04-2021,111.31,139.31,-19.0,-7.0,-11.0,-18.0,-37.0,12.0,0.0250000009059639,4.4180821861942434e-05,0.0250000008717639,4.287504830595765e-05,0.025000060298113,0.000181561974558,0.0250000661686323,0.0001932495565104,0.0250000226469784,0.000202200752472,0.0250000287163092,0.000258046710569,2096829,147315,2574,147315,3146,0.0702560866909032,0.0012275679132633,0.0702560866909032,0.0015003607828773
01-05-2021,110.41,132.55,-22.0,-8.0,-18.0,-15.0,-37.0,14.0,0.0250000008464485,4.202266866646208e-05,0.0250000008773858,4.293964399577003e-05,0.0250000644387821,0.000193033843617,0.0250000622674153,0.0001883357476503,0.025000022028259,0.0001972641359809,0.0250000278567702,0.0002510513048826,2096829,148499,2594,148499,3161,0.0708207488545799,0.0012371061254875,0.0708207488545799,0.0015075144420455
01-06-2021,106.44,124.44,-25.0,-13.0,-24.0,-18.0,-36.0,14.0,0.0250000008615417,4.304777173502344e-05,0.0250000008767945,4.315509629133191e-05,0.0250000613623623,0.0001934217406409,0.0250000571637774,0.0001835799109224,0.0250000222942233,0.0002005073039085,0.0250000271281269,0.0002450645486653,2096829,149984,2641,149984,3187,0.0715289611122318,0.0012595209242146,0.0715289611122318,0.0015199141179371
01-07-2021,106.98,130.04,-26.0,-13.0,-16.0,-20.0,-38.0,15.0,0.0250000008562847,4.246607130416145e-05,0.0250000008358361,4.159052347709343e-05,0.0250000549168764,0.0001843411402351,0.0250000543747173,0.0001829361168,0.0250000226183715,0.000204303333388,0.0250000263058719,0.0002383864808719,2096829,151819,2680,151819,3209,0.0724040920838084,0.0012781204380519,0.0724040920838084,0.0015304061513838
01-08-2021,121.64,149.88,-28.0,-10.0,-21.0,-23.0,-34.0,14.0,0.0250000008263854,4.061442931175733e-05,0.0250000008104204,4.071594562509004e-05,0.0250000511880458,0.0001827126491328,0.0250000513656772,0.0001854274792925,0.0250000236449887,0.0002139529178631,0.0250000254526888,0.0002306311020181,2096829,153456,2710,153456,3236,0.0731847947543648,0.0012924277563883,0.0731847947543648,0.0015432827378865
01-09-2021,111.95,133.63,-32.0,-13.0,-38.0,-23.0,-19.0,10.0,0.0250000008815056,4.2577120036988415e-05,0.025000000792867,4.004695508123035e-05,0.0250000469985748,0.0001778659367504,0.0250000462703193,0.0001805644714286,0.0250000216939054,0.0001963862024723,0.0250000239304419,0.0002176156155108,2096829,154954,2732,154954,3265,0.0738992068499624,0.001302919789835,0.0738992068499624,0.0015571131456117
01-10-2021,88.51,99.48,-33.0,-17.0,-35.0,-25.0,-21.0,9.0,0.0250000008747771,4.2344902839253736e-05,0.0250000008177622,4.103554522105464e-05,0.0250000508924364,0.0001905133925343,0.0250000438797504,0.0001776885483945,0.0250000215126937,0.0001952455826513,0.0250000230283142,0.000209902032412,2096829,156157,2749,156157,3293,0.0744729303152522,0.0013110272702256,0.0744729303152522,0.0015704666427257
