date,Kentucky-apple-driving,Kentucky-apple-walking,Kentucky-google-retail_and_recreation,Kentucky-google-grocery_and_pharmacy,Kentucky-google-parks,Kentucky-google-transit_stations,Kentucky-google-workplaces,Kentucky-google-residential,Kentucky-jh_beta_7,Kentucky-jh_gamma_7,Kentucky-cdc_beta_7,Kentucky-cdc_gamma_7,Kentucky-jh_beta_14,Kentucky-jh_gamma_14,Kentucky-cdc_beta_14,Kentucky-cdc_gamma_14,Kentucky-jh_beta_30,Kentucky-jh_gamma_30,Kentucky-cdc_beta_30,Kentucky-cdc_gamma_30,Kentucky-census_pop,Kentucky-jh_confirmed,Kentucky-jh_death,Kentucky-cdc_confirmed,Kentucky-cdc_death,Kentucky-jh_confirmed_ratio,Kentucky-jh_death_ratio,Kentucky-cdc_confirmed_ratio,Kentucky-cdc_death_ratio
01-01-2021,91.77,103.28,-36.0,-27.0,-3.0,-46.0,-72.0,24.0,0.0250000002752328,2.0367456071344542e-05,0.0250000006681041,3.484118131108603e-05,0.0250000019509677,4.655244000588197e-05,0.0250001029805934,0.0002033925784408,0.0250000183957311,0.0001638685900342,0.0250000242424485,0.000213701312618,4467673,265261,2623,280841,4880,0.0593734143031506,0.0005871065317448,0.0628606883270105,0.0010922912218508
01-02-2021,117.86,133.49,-19.0,-5.0,14.0,-7.0,-18.0,7.0,0.0250000002979683,2.168581929063564e-05,0.025000000655826,3.435695509004576e-05,0.0250000018608549,4.50263026991586e-05,0.0250000973240232,0.0002003091474998,0.0250000194316337,0.0001739032282901,0.0250000237784267,0.0002102233966546,4467673,273970,2698,283707,4918,0.0613227512398512,0.0006038937943757,0.0635021855896794,0.0011007967682504
01-03-2021,93.77,100.23,-21.0,-10.0,-11.0,-4.0,-15.0,6.0,0.025,1e-05,0.0250000006472593,3.416775970436617e-05,0.0250000018839131,4.513720524720968e-05,0.0250000923584348,0.0001971284524509,0.0250000090750817,8.570164551327742e-05,0.0250000233439819,0.0002070097056377,4467673,276825,2723,286117,4965,0.0619617863706676,0.000609489548586,0.0640416162955525,0.0011113167861658
01-04-2021,111.41,138.72,-12.0,-3.0,-12.0,-14.0,-27.0,10.0,0.025,1e-05,0.0250000006488929,3.4374395838483675e-05,0.0250000019050271,4.526627996765013e-05,0.0250000847925919,0.0001904239475226,0.0250000088781376,8.404012593976746e-05,0.0250000225605435,0.0002005920432884,4467673,279142,2749,289025,5013,0.0624804008708784,0.0006153091329647,0.0646925144252947,0.0011220606342496
01-05-2021,117.69,138.05,-16.0,-2.0,-12.0,-12.0,-28.0,10.0,0.0250000002973938,2.0816017650781754e-05,0.0250000006282026,3.357978574647966e-05,0.0250000020290456,4.760183376573186e-05,0.0250000780299332,0.0001855298146029,0.0250000087150626,8.272031638403804e-05,0.0250000221053497,0.0001969478121783,4467673,280835,2772,293828,5059,0.062859345346,0.0006204572268382,0.0657675707241778,0.0011323568219965
01-06-2021,108.96,137.09,-18.0,-5.0,-10.0,-16.0,-28.0,10.0,0.0250000002929426,2.058959218974229e-05,0.0250000006316141,3.375861608523355e-05,0.0250000020352849,4.75477432546649e-05,0.0250000716251977,0.0001802922562625,0.0250000088685438,8.428286555007929e-05,0.0250000215554977,0.0001923339945174,4467673,286540,2806,298608,5104,0.0641362964567908,0.0006280674525642,0.0668374789291875,0.0011424291795751
01-07-2021,110.92,137.15,-20.0,-6.0,-16.0,-19.0,-29.0,11.0,0.0250000002989716,2.0791157690259465e-05,0.0250000006023585,3.253667860988794e-05,0.0250000020746288,4.813722267611706e-05,0.0250000623751484,0.0001698124885026,0.0250000090684059,8.619146639230003e-05,0.025000021092043,0.0001887157032623,4467673,291429,2843,303233,5145,0.0652306021501573,0.0006363491687954,0.0678726934580932,0.00115160621648
01-08-2021,125.74,153.73,-24.0,-10.0,-16.0,-22.0,-28.0,12.0,0.0250000003762518,2.3989769083467345e-05,0.0250000005909335,3.2094863122362605e-05,0.0250000023580883,5.381682446261362e-05,0.0250000610281769,0.000170311214115,0.0250000090415278,8.601316374828582e-05,0.0250000206274071,0.0001852078949575,4467673,296166,2856,307547,5202,0.0662908856579252,0.0006392589609848,0.0688382968046229,0.0011643645360795
01-09-2021,119.43,142.22,-19.0,-4.0,0.0,-14.0,-9.0,6.0,0.0250000004369732,2.6720481135450296e-05,0.0250000005925017,3.205377668153712e-05,0.0250000026110966,5.910221900387001e-05,0.0250000580739319,0.0001664327944209,0.0250000090420068,8.621579741028166e-05,0.0250000203444485,0.0001832791981463,4467673,300397,2876,310711,5243,0.0672379111004767,0.000643735564353,0.0695464954574786,0.0011735415729844
01-10-2021,91.09,106.03,-20.0,-8.0,-2.0,-17.0,-13.0,5.0,0.0250000003221002,2.2059971482884453e-05,0.0250000006181189,3.3131598000189547e-05,0.0250000022483055,5.149731054202923e-05,0.0250000552986601,0.0001637432916916,0.0250000087754377,8.400487023524793e-05,0.0250000198753362,0.0001797493668492,4467673,303624,2901,312943,5283,0.0679602110539424,0.0006493313185633,0.0700460843933743,0.0011824947797208
01-11-2021,107.85,128.4,-18.0,-7.0,-25.0,-19.0,-28.0,11.0,0.0250000003208946,2.2097717711651858e-05,0.0250000006146896,3.305813965410318e-05,0.0250000023008527,5.267084042441048e-05,0.0250000534557854,0.0001624875333432,0.0250000086548274,8.311462227802962e-05,0.0250000193139038,0.0001751411212848,4467673,305706,2922,316308,5324,0.0684262254645763,0.0006540317521,0.0707992729100809,0.0011916718166257
01-12-2021,109.16,133.05,-17.0,-3.0,-8.0,-13.0,-28.0,9.0,0.0250000003138628,2.1894519361568598e-05,0.0250000006062803,3.278941280097123e-05,0.0250000024700177,5.638506384916238e-05,0.0250000479494736,0.0001562505434292,0.0250000085024419,8.19344310993604e-05,0.0250000191806646,0.0001745130910182,4467673,308728,2944,320394,5367,0.0691026402335175,0.000658956015805,0.0717138429782126,0.0012012965138675
01-13-2021,111.27,136.81,-18.0,-4.0,4.0,-15.0,-28.0,9.0,0.0250000003128027,2.1908523155365597e-05,0.0250000006057662,3.282591642311991e-05,0.0250000024217626,5.555259596219904e-05,0.0250000438476169,0.0001528935047255,0.0250000085523546,8.259760392142157e-05,0.0250000189362072,0.0001727247935277,4467673,313281,2991,324412,5419,0.0701217389902976,0.0006694760337204,0.0726131925948922,0.0012129356826249
01-14-2021,115.76,139.65,-20.0,-7.0,1.0,-18.0,-29.0,9.0,0.0250000003096481,2.1511704052434257e-05,0.0250000006160364,3.3190324549162284e-05,0.0250000024420675,5.586852862823041e-05,0.0250000382019607,0.0001454974943063,0.0250000086373009,8.34263716210685e-05,0.0250000186466923,0.0001706419558981,4467673,317344,3042,328270,5465,0.0710311609645558,0.0006808913723094,0.0734767293846259,0.0012232318703718
