date,New Jersey-apple-driving,New Jersey-apple-walking,New Jersey-google-retail_and_recreation,New Jersey-google-grocery_and_pharmacy,New Jersey-google-parks,New Jersey-google-transit_stations,New Jersey-google-workplaces,New Jersey-google-residential,New Jersey-jh_beta_7,New Jersey-jh_gamma_7,New Jersey-cdc_beta_7,New Jersey-cdc_gamma_7,New Jersey-jh_beta_14,New Jersey-jh_gamma_14,New Jersey-cdc_beta_14,New Jersey-cdc_gamma_14,New Jersey-jh_beta_30,New Jersey-jh_gamma_30,New Jersey-cdc_beta_30,New Jersey-cdc_gamma_30,New Jersey-census_pop,New Jersey-jh_confirmed,New Jersey-jh_death,New Jersey-cdc_confirmed,New Jersey-cdc_death,New Jersey-jh_confirmed_ratio,New Jersey-jh_death_ratio,New Jersey-cdc_confirmed_ratio,New Jersey-cdc_death_ratio
04-13-2021,124.75,148.61,-13.0,0.0,74.0,-40.0,-37.0,11.0,0.0250000003121136,2.2771101194253185e-05,0.0250000003121136,2.2771101194253185e-05,0.0250000023348149,5.805580832961684e-05,0.0250000023348149,5.805580832961684e-05,0.0250000023236185,3.162574681147019e-05,0.0250000023228765,3.16196125018876e-05,8882190,959921,24945,959921,24945,0.1080725586820367,0.0028084290023068,0.1080725586820367,0.0028084290023068
04-14-2021,123.9,144.49,-13.0,-3.0,54.0,-39.0,-38.0,11.0,0.0250000002784594,2.125395332830436e-05,0.0250000002784594,2.125395332830436e-05,0.0250000019489135,4.9296510427538415e-05,0.0250000019489135,4.9296510427538415e-05,0.0250000023859665,3.230888667479477e-05,0.0250000023852314,3.230279476856117e-05,8882190,963484,25006,963484,25006,0.1084736984910253,0.0028152966779589,0.1084736984910253,0.0028152966779589
04-15-2021,120.6,136.19,-19.0,-7.0,-3.0,-42.0,-37.0,13.0,0.0250000002684416,2.0491852425876306e-05,0.0250000002684416,2.0491852425876306e-05,0.0250000016614593,4.239858954380331e-05,0.0250000016614593,4.239858954380331e-05,0.0250000024324471,3.278461350122515e-05,0.0250000024324471,3.278461350122515e-05,8882190,967442,25053,967401,25053,0.1089193093144821,0.0028205881657564,0.1089146933357651,0.0028205881657564
04-16-2021,148.37,175.17,-18.0,-5.0,16.0,-37.0,-35.0,12.0,0.0250000002929757,2.1275676734283475e-05,0.0250000002929757,2.1275676734283475e-05,0.0250000017527711,4.3976569459566986e-05,0.0250000017527711,4.3976569459566986e-05,0.0250000023994107,3.243634800292792e-05,0.0250000023986733,3.243024385016718e-05,8882190,971782,25094,971782,25094,0.1094079275493994,0.0028252041444733,0.1094079275493994,0.0028252041444733
04-17-2021,154.39,199.06,-11.0,-2.0,101.0,-22.0,-12.0,2.0,0.0250000002979826,2.131312479985373e-05,0.0250000002979826,2.131312479985373e-05,0.0250000018965013,4.6826560734903946e-05,0.0250000018965013,4.6826560734903946e-05,0.025000002206636,3.0447540884194125e-05,0.0250000022060117,3.0442392377630493e-05,8882190,975704,25134,975704,25134,0.109849485318373,0.0028297075383435,0.109849485318373,0.0028297075383435
04-18-2021,123.74,151.18,-9.0,-4.0,128.0,-23.0,-14.0,3.0,0.0250000003203709,2.226759145975213e-05,0.0250000003203709,2.226759145975213e-05,0.0250000020987716,5.110872541545194e-05,0.0250000020987716,5.110872541545194e-05,0.0250000022171157,3.054410930913834e-05,0.0250000022164418,3.0538558658263575e-05,8882190,978853,25143,978853,25143,0.1102040150008049,0.0028307208019643,0.1102040150008049,0.0028307208019643
04-19-2021,121.55,144.55,-13.0,-3.0,54.0,-39.0,-36.0,11.0,0.0250000003621658,2.4494711235369996e-05,0.0250000003621658,2.4494711235369996e-05,0.0250000023486173,5.69083765440651e-05,0.0250000023486173,5.69083765440651e-05,0.0250000022316398,3.072523149607847e-05,0.0250000022316398,3.072523149607847e-05,8882190,981036,25161,981036,25161,0.1104497877212714,0.0028327473292059,0.1104497877212714,0.0028327473292059
04-20-2021,128.86,159.93,-9.0,2.0,109.0,-37.0,-36.0,10.0,0.0250000003613124,2.490517135215475e-05,0.0250000003611341,2.489569830584956e-05,0.0250000025118184,6.096264420606891e-05,0.0250000025118184,6.096264420606891e-05,0.025000002220788,3.067168703966652e-05,0.025000002220788,3.067168703966652e-05,8882190,983875,25206,983875,25206,0.1107694161012092,0.0028378136473099,0.1107694161012092,0.0028378136473099
04-21-2021,119.4,136.15,-15.0,-4.0,23.0,-41.0,-37.0,12.0,0.0250000003254728,2.3441643958282363e-05,0.0250000003254728,2.3441643958282363e-05,0.0250000012421693,3.514530369758798e-05,0.0250000012421693,3.514530369758798e-05,0.0250000021848446,3.032874855248369e-05,0.0250000021848446,3.032874855248369e-05,8882190,987350,25271,987350,25271,0.1111606484436833,0.002845131662349,0.1111606484436833,0.002845131662349
04-22-2021,127.39,143.33,-15.0,-1.0,22.0,-40.0,-36.0,12.0,0.0250000002891256,2.152804777723217e-05,0.0250000002891256,2.152804777723217e-05,0.0250000011950503,3.4014613308169926e-05,0.0250000011950503,3.4014613308169926e-05,0.025000002297208,3.1472537523718955e-05,0.025000002297208,3.1472537523718955e-05,8882190,990580,25301,990580,25301,0.1115242974987024,0.0028485092077516,0.1115242974987024,0.0028485092077516
04-23-2021,155.38,184.21,-14.0,-2.0,59.0,-35.0,-34.0,10.0,0.0250000002740849,2.068740041758465e-05,0.0250000002740805,2.068714918210916e-05,0.02500000120431,3.422660585581218e-05,0.02500000120431,3.422660585581218e-05,0.0250000021794538,3.026907245311958e-05,0.0250000021794538,3.026907245311958e-05,8882190,993414,25328,993414,25328,0.1118433629544065,0.002851548998614,0.1118433629544065,0.002851548998614
04-24-2021,161.31,211.6,-9.0,0.0,166.0,-17.0,-12.0,1.0,0.0250000002634137,2.0188202383895115e-05,0.0250000002634137,2.0188202383895115e-05,0.0250000011663973,3.3448367305031614e-05,0.0250000011663973,3.3448367305031614e-05,0.0250000021063852,2.953360792185877e-05,0.0250000021063852,2.953360792185877e-05,8882190,996197,25367,996197,25367,0.112156686582926,0.0028559398076375,0.112156686582926,0.0028559398076375
04-25-2021,112.84,132.73,-14.0,-7.0,50.0,-28.0,-16.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000011742998,3.368765596157998e-05,0.0250000011742998,3.368765596157998e-05,0.0250000020842221,2.9319798173909835e-05,0.0250000020842221,2.9319798173909835e-05,8882190,997891,25380,997891,25380,0.1123474053133292,0.0028574034106453,0.1123474053133292,0.0028574034106453
04-26-2021,122.83,144.21,-11.0,-1.0,64.0,-39.0,-35.0,10.0,0.0250000002974007,2.197036384441948e-05,0.0250000002974007,2.197036384441948e-05,0.0250000012547955,3.570587600866057e-05,0.0250000012547955,3.570587600866057e-05,0.02500000208634,2.9403051962783133e-05,0.02500000208634,2.9403051962783133e-05,8882190,988886,25399,988886,25399,0.1113335787682992,0.0028595425227336,0.1113335787682992,0.0028595425227336
04-27-2021,126.53,150.32,-11.0,2.0,79.0,-39.0,-35.0,10.0,0.025000000310144,2.2871421659817324e-05,0.025000000310144,2.2871421659817324e-05,0.0250000012618244,3.610479198680179e-05,0.0250000012623416,3.611153693941012e-05,0.0250000021015973,2.963466606626514e-05,0.0250000021015973,2.963466606626514e-05,8882190,991010,25460,991010,25460,0.1115727089828071,0.0028664101983857,0.1115727089828071,0.0028664101983857
