date,Missouri-apple-driving,Missouri-apple-walking,Missouri-google-retail_and_recreation,Missouri-google-grocery_and_pharmacy,Missouri-google-parks,Missouri-google-transit_stations,Missouri-google-workplaces,Missouri-google-residential,Missouri-jh_beta_7,Missouri-jh_gamma_7,Missouri-cdc_beta_7,Missouri-cdc_gamma_7,Missouri-jh_beta_14,Missouri-jh_gamma_14,Missouri-cdc_beta_14,Missouri-cdc_gamma_14,Missouri-jh_beta_30,Missouri-jh_gamma_30,Missouri-cdc_beta_30,Missouri-cdc_gamma_30,Missouri-census_pop,Missouri-jh_confirmed,Missouri-jh_death,Missouri-cdc_confirmed,Missouri-cdc_death,Missouri-jh_confirmed_ratio,Missouri-jh_death_ratio,Missouri-cdc_confirmed_ratio,Missouri-cdc_death_ratio
01-01-2021,70.59,90.35,-51.0,-46.0,-34.0,-52.0,-74.0,28.0,0.025,1e-05,0.0250000005106455,2.932518269046697e-05,0.0250000230379393,0.0001230946010628,0.0250000182764537,0.0001134754816707,0.0250000141434856,0.0001307084773694,0.0250000137587272,0.0001293793731281,6137428,445019,5747,450801,6899,0.0725090379878998,0.0009363857303091,0.0734511264327663,0.0011240865065952
01-02-2021,102.9,130.19,-27.0,-12.0,-25.0,-22.0,-19.0,9.0,0.0250000003516402,2.249248999731484e-05,0.0250000005048543,2.91940689192138e-05,0.0250000220757284,0.0001255898754137,0.0250000163232186,0.0001089271772719,0.0250000139563554,0.0001294827989872,0.0250000132846531,0.0001253844989463,6137428,448387,5751,453523,6938,0.073057802063014,0.0009370374691157,0.0738946346906228,0.0011304409599591
01-03-2021,88.62,102.64,-18.0,-11.0,-20.0,-15.0,-14.0,6.0,0.0250000003880754,2.4504697924085496e-05,0.0250000004820547,2.8352723482331047e-05,0.0250000186218974,0.0001181848780223,0.0250000155242149,0.0001078473506094,0.0250000135007017,0.0001259504590806,0.0250000129510071,0.000122727582027,6137428,451605,5770,456021,6985,0.0735821259328826,0.0009401332284468,0.0743016455753126,0.001138098890936
01-04-2021,101.9,125.25,-9.0,0.0,-17.0,-23.0,-29.0,10.0,0.0250000004337422,2.700212599393801e-05,0.0250000004671094,2.775806542333478e-05,0.0250000175268816,0.0001190923797428,0.0250000148533606,0.000106983825091,0.0250000129089027,0.0001211512219985,0.0250000127111716,0.0001209143351087,6137428,454015,5772,462534,7032,0.0739747985638283,0.0009404590978501,0.0753628392870759,0.001145756821913
01-05-2021,107.12,135.26,-11.0,-1.0,8.0,-20.0,-28.0,9.0,0.0250000004512193,2.8357366455805045e-05,0.0250000004636791,2.759074945235612e-05,0.0250000164198032,0.0001218149385586,0.0250000128448092,0.0001018261962829,0.0250000124280915,0.0001175302216085,0.0250000123498828,0.0001177660095263,6137428,458230,5987,467455,7086,0.0746615683312293,0.0009754900587021,0.0761646409538327,0.0011545552958014
01-06-2021,98.52,124.87,-10.0,-6.0,-25.0,-19.0,-26.0,8.0,0.0250000004205055,2.562503906181284e-05,0.0250000004575469,2.7210538320391022e-05,0.0250000031386646,6.982256879198309e-05,0.0250000116242061,9.85527328851835e-05,0.0250000127752272,0.0001210852585532,0.0250000122715116,0.0001172679305366,6137428,462063,6022,471868,7129,0.0752860970426048,0.0009811927732594,0.0768836717921578,0.0011615614879718
01-07-2021,100.37,120.85,-19.0,-8.0,-22.0,-23.0,-26.0,11.0,0.02500000039455,2.3668538630211503e-05,0.0250000004627861,2.738125270713337e-05,0.0250000027800121,6.106853692477254e-05,0.0250000107055629,9.673889710602016e-05,0.0250000131457817,0.0001248969239118,0.0250000118725444,0.0001139471798038,6137428,467936,6094,475713,7178,0.0762430125453202,0.0009929240717772,0.077510155719953,0.001169545288352
01-08-2021,119.5,150.61,-13.0,-12.0,-11.0,-20.0,-14.0,9.0,0.0250000004897177,2.7086348704327265e-05,0.0250000004798474,2.806029839362693e-05,0.0250000029364441,6.329164988362368e-05,0.0250000106047159,9.892878250667908e-05,0.0250000120701052,0.0001148027082169,0.025000011456538,0.0001103330989043,6137428,473282,6131,479274,7214,0.0771140614602729,0.0009989526557378,0.0780903661924832,0.0011754109376109
01-09-2021,118.54,153.36,-18.0,-6.0,-17.0,-18.0,-8.0,6.0,0.0250000005758273,3.07665815496877e-05,0.025000000482162,2.824755895683888e-05,0.0250000103765516,8.47916945172576e-05,0.025000010354353,9.820937995028857e-05,0.0250000120646141,0.0001149994709891,0.0250000110136226,0.0001064208056213,6137428,477617,6173,481017,7259,0.0778203833918703,0.0010057959132066,0.0783743613774369,0.0011827429991846
01-10-2021,88.15,104.77,-14.0,-7.0,-25.0,-21.0,-12.0,5.0,0.025000000685269,3.584030253087274e-05,0.025000000494538,2.884702964704097e-05,0.0250000115073484,9.341707544456602e-05,0.0250000095493677,9.552898299327904e-05,0.0250000116467683,0.0001113453851696,0.0250000107439493,0.0001041596996716,6137428,480558,6180,482668,7308,0.0782995743493854,0.0010069364561181,0.07864336656984,0.0011907267995648
01-11-2021,97.96,121.49,-16.0,-6.0,-17.0,-26.0,-26.0,10.0,0.0250000007249848,3.843123612212774e-05,0.0250000004933183,2.8799981597129903e-05,0.0250000123705816,0.0001029131483201,0.0250000037664762,8.218648429332033e-05,0.0250000119675116,0.0001147644814568,0.0250000105104235,0.0001022169861292,6137428,483211,6184,487027,7361,0.078731840112829,0.0010075881949246,0.0793535989342767,0.0011993623387516
01-12-2021,101.69,128.93,-16.0,-6.0,13.0,-23.0,-27.0,9.0,0.0250000007697,4.130198920469184e-05,0.0250000005012769,2.905626044710001e-05,0.0250000123027361,0.0001098094421027,0.0250000037897507,8.259562702232389e-05,0.0250000115917542,0.0001119254752489,0.0250000103375771,0.0001007173894341,6137428,486456,6383,490138,7407,0.0792605632196418,0.0010400122005504,0.0798604887910701,0.0012068573350269
01-13-2021,102.52,128.35,-10.0,-7.0,-2.0,-16.0,-25.0,7.0,0.0250000004933107,2.8390589606513167e-05,0.0250000004917164,2.8586286658225505e-05,0.0250000109072936,0.0001007365600769,0.0250000037671407,8.203416259366575e-05,0.0250000119889929,0.0001157323088822,0.0250000101358209,9.891100701325836e-05,6137428,489319,6411,492975,7456,0.0797270452704292,0.0010445743721963,0.0803227345396149,0.0012148411354072
01-14-2021,105.73,126.69,-20.0,-8.0,-20.0,-21.0,-26.0,10.0,0.0250000005652549,3.092792328518573e-05,0.0250000005069707,2.918014505012532e-05,0.0250000039778009,8.41500067519247e-05,0.0250000038086774,8.284001887971196e-05,0.0250000123610615,0.0001194174263893,0.0250000098052518,9.603593584774394e-05,6137428,492899,6457,495748,7488,0.0803103515022905,0.0010520693684716,0.080774552467255,0.0012200550458596
01-15-2021,108.46,137.22,-27.0,-22.0,-28.0,-25.0,-22.0,13.0,0.0250000005474166,2.9948588424774345e-05,0.0250000004961955,2.884409886918222e-05,0.0250000042633924,9.006738894831988e-05,0.0250000038625952,8.411062626614339e-05,0.0250000105814296,0.0001023158606904,0.0250000095901913,9.423975282402568e-05,6137428,497037,6492,497941,7530,0.0809845752976654,0.0010577720830289,0.0811318682679454,0.0012268983033283
01-16-2021,120.0,164.16,-23.0,-11.0,-22.0,-22.0,-12.0,7.0,0.0250000005858763,3.176578553892426e-05,0.0250000005123468,2.9663276535737225e-05,0.0250000045653337,9.674516247351723e-05,0.0250000038773894,8.456570584292452e-05,0.0250000103594547,0.0001003239856296,0.0250000094494645,9.314352011202296e-05,6137428,499866,6523,499377,7573,0.0814455175685971,0.0010628230587796,0.0813658424994965,0.0012339044954987
01-17-2021,91.88,115.82,-19.0,-12.0,-23.0,-23.0,-15.0,5.0,0.0250000005942654,3.260283648308193e-05,0.0250000005070253,2.9524196149923222e-05,0.0250000049865923,0.0001063271787914,0.0250000039346427,8.593877752843881e-05,0.0250000102177174,9.91994243511342e-05,0.0250000092572122,9.153049711364104e-05,6137428,502063,6526,500560,7619,0.0818034851080941,0.0010633118628845,0.0815585942515333,0.001241399491774
01-18-2021,104.65,129.57,-14.0,-9.0,-9.0,-26.0,-43.0,13.0,0.0250000006429378,3.556763251913448e-05,0.0250000004953869,2.903221315533006e-05,0.0250000051942132,0.0001118252524777,0.0250000039235473,8.579251628065906e-05,0.0250000102367329,9.97680032477169e-05,0.0250000089835001,8.909555516033906e-05,6137428,503740,6530,503461,7663,0.0820767266027397,0.0010639636016911,0.082031267820983,0.0012485686186461
