date,Minnesota-apple-driving,Minnesota-apple-walking,Minnesota-google-retail_and_recreation,Minnesota-google-grocery_and_pharmacy,Minnesota-google-parks,Minnesota-google-transit_stations,Minnesota-google-workplaces,Minnesota-google-residential,Minnesota-jh_beta_7,Minnesota-jh_gamma_7,Minnesota-cdc_beta_7,Minnesota-cdc_gamma_7,Minnesota-jh_beta_14,Minnesota-jh_gamma_14,Minnesota-cdc_beta_14,Minnesota-cdc_gamma_14,Minnesota-jh_beta_30,Minnesota-jh_gamma_30,Minnesota-cdc_beta_30,Minnesota-cdc_gamma_30,Minnesota-census_pop,Minnesota-jh_confirmed,Minnesota-jh_death,Minnesota-cdc_confirmed,Minnesota-cdc_death,Minnesota-jh_confirmed_ratio,Minnesota-jh_death_ratio,Minnesota-cdc_confirmed_ratio,Minnesota-cdc_death_ratio
01-11-2021,86.97,117.15,-20.0,-14.0,-1.0,-51.0,-34.0,13.0,0.0250000004605471,2.703634010413518e-05,0.0250000004605471,2.703634010413518e-05,0.025000003601126,7.852338673600975e-05,0.025000003601126,7.852338673600975e-05,0.0250000102190321,0.0001008073420424,0.0250000102190321,0.0001008073420424,5639632,437552,5779,437552,5779,0.0775852041409794,0.0010247122507284,0.0775852041409794,0.0010247122507284
01-12-2021,89.63,118.75,-21.0,-11.0,7.0,-51.0,-34.0,14.0,0.025000000504449,2.9367657286957404e-05,0.025000000504449,2.9367657286957404e-05,0.025000003823852,8.365853272749746e-05,0.025000003823852,8.365853272749746e-05,0.0250000097940323,9.709999304267396e-05,0.0250000097940323,9.709999304267396e-05,5639632,438867,5792,438867,5792,0.0778183753833583,0.001027017365672,0.0778183753833583,0.001027017365672
01-13-2021,92.47,127.2,-19.0,-8.0,12.0,-46.0,-34.0,13.0,0.0250000005174854,3.049896334638212e-05,0.0250000005174854,3.049896334638212e-05,0.0250000037831472,8.337942806166481e-05,0.0250000037831472,8.337942806166481e-05,0.0250000092058774,9.17897551232208e-05,0.0250000092058774,9.17897551232208e-05,5639632,440354,5842,440354,5842,0.0780820450696073,0.0010358831923785,0.0780820450696073,0.0010358831923785
01-14-2021,81.47,108.32,-37.0,-21.0,-28.0,-53.0,-38.0,17.0,0.0250000004141557,2.6193601281407183e-05,0.0250000004141557,2.6193601281407183e-05,0.0250000034964474,7.749392701208993e-05,0.0250000034964474,7.749392701208993e-05,0.0250000093027783,9.30613774357936e-05,0.0250000093027783,9.30613774357936e-05,5639632,441935,5885,441935,5885,0.0783623825100644,0.001043507803346,0.0783623825100644,0.001043507803346
01-15-2021,98.09,139.66,-36.0,-27.0,-28.0,-52.0,-40.0,19.0,0.025000000394919,2.5248612621400586e-05,0.025000000394919,2.5248612621400586e-05,0.025000003270517,7.27713131369309e-05,0.025000003270517,7.27713131369309e-05,0.0250000093941664,9.420161045175512e-05,0.0250000093941664,9.420161045175512e-05,5639632,443562,5918,443562,5918,0.0786508765110915,0.0010493592489722,0.0786508765110915,0.0010493592489722
01-16-2021,103.63,139.21,-28.0,-17.0,-10.0,-40.0,-9.0,8.0,0.0250000003655409,2.3852866239955608e-05,0.0250000003655409,2.3852866239955608e-05,0.0250000036056378,8.015502880957287e-05,0.0250000036056378,8.015502880957287e-05,0.0250000088009233,8.863691163092667e-05,0.0250000088009233,8.863691163092667e-05,5639632,445047,5955,445047,5955,0.0789141915642722,0.001055919960735,0.0789141915642722,0.001055919960735
01-17-2021,84.51,106.42,-24.0,-19.0,13.0,-44.0,-12.0,6.0,0.0250000003507196,2.3055879436501743e-05,0.0250000003507196,2.3055879436501743e-05,0.0250000034437123,7.67911275449805e-05,0.0250000034437123,7.67911275449805e-05,0.0250000082865224,8.383600940514169e-05,0.0250000082865224,8.383600940514169e-05,5639632,446380,5995,446380,5995,0.0791505545042655,0.0010630126221001,0.0791505545042655,0.0010630126221001
01-18-2021,93.63,116.9,-19.0,-14.0,0.0,-49.0,-43.0,14.0,0.025000000337524,2.234289594569105e-05,0.025000000337524,2.234289594569105e-05,0.0250000032986617,7.370284650033362e-05,0.0250000032986617,7.370284650033362e-05,0.0250000079530211,8.076863856375347e-05,0.0250000079530211,8.076863856375347e-05,5639632,447349,6007,447349,6007,0.079322374225836,0.0010651404205097,0.079322374225836,0.0010651404205097
01-19-2021,87.84,114.25,-28.0,-18.0,-20.0,-50.0,-35.0,14.0,0.0250000003979861,2.516122679319387e-05,0.0250000003979861,2.516122679319387e-05,0.0250000034945886,7.82714127626628e-05,0.0250000034945886,7.82714127626628e-05,0.025000007673546,7.82873354022557e-05,0.025000007673546,7.82873354022557e-05,5639632,448268,6013,448268,6013,0.0794853281207,0.0010662043197144,0.0794853281207,0.0010662043197144
01-20-2021,87.96,113.92,-24.0,-16.0,-6.0,-48.0,-35.0,14.0,0.0250000004157326,2.638928704065659e-05,0.0250000004157326,2.638928704065659e-05,0.0250000035816999,8.075270846421069e-05,0.0250000035816999,8.075270846421069e-05,0.0250000072502729,7.445752096960319e-05,0.0250000072502729,7.445752096960319e-05,5639632,449492,6047,449492,6047,0.0797023635584733,0.0010722330818748,0.0797023635584733,0.0010722330818748
01-21-2021,94.07,123.68,-26.0,-16.0,-14.0,-49.0,-34.0,14.0,0.0250000003534452,2.39098000009716e-05,0.0250000003534452,2.39098000009716e-05,0.0250000031181285,7.112402345042653e-05,0.0250000031181285,7.112402345042653e-05,0.0250000072921845,7.513288411766654e-05,0.0250000072921845,7.513288411766654e-05,5639632,450762,6079,450762,6079,0.0799275555568164,0.0010779072109669,0.0799275555568164,0.0010779072109669
01-22-2021,110.21,144.73,-26.0,-15.0,-20.0,-47.0,-33.0,15.0,0.0250000003139613,2.221737972065119e-05,0.0250000003139613,2.221737972065119e-05,0.0250000029698613,6.814415760270365e-05,0.0250000029698613,6.814415760270365e-05,0.0250000073208904,7.564873455975363e-05,0.0250000073208904,7.564873455975363e-05,5639632,452268,6100,452268,6100,0.0801945942572139,0.0010816308581836,0.0801945942572139,0.0010816308581836
01-23-2021,98.81,135.44,-32.0,-18.0,-17.0,-44.0,-10.0,10.0,0.0250000002941983,2.13738439649275e-05,0.0250000002941983,2.13738439649275e-05,0.0250000027674499,6.402544604372042e-05,0.0250000027674499,6.402544604372042e-05,0.0250000068755655,7.15136828651043e-05,0.0250000068755655,7.15136828651043e-05,5639632,453808,6131,453808,6131,0.0804676617197717,0.0010871276707416,0.0804676617197717,0.0010871276707416
01-24-2021,79.64,108.89,-31.0,-24.0,17.0,-41.0,-11.0,6.0,0.0250000002703084,2.0242364943192176e-05,0.0250000002703084,2.0242364943192176e-05,0.0250000026204536,6.099484703910743e-05,0.0250000026204536,6.099484703910743e-05,0.0250000063892495,6.696730212902052e-05,0.0250000063892495,6.696730212902052e-05,5639632,454989,6163,454989,6163,0.0806770725465775,0.0010928017998337,0.0806770725465775,0.0010928017998337
01-25-2021,86.31,112.51,-25.0,-18.0,-14.0,-50.0,-35.0,13.0,0.025,1e-05,0.025,1e-05,0.0250000024695381,5.779289041497479e-05,0.0250000024695381,5.779289041497479e-05,0.0250000066631603,6.980308577108692e-05,0.0250000066631603,6.980308577108692e-05,5639632,455783,6166,455783,6166,0.0808178618746755,0.0010933337494361,0.0808178618746755,0.0010933337494361
01-26-2021,89.5,115.69,-24.0,-17.0,-11.0,-52.0,-34.0,14.0,0.025000000264378,2.003748203591662e-05,0.025000000264378,2.003748203591662e-05,0.0250000026618371,6.234655005875252e-05,0.0250000026618371,6.234655005875252e-05,0.025000006348229,6.69940353242759e-05,0.025000006348229,6.69940353242759e-05,5639632,456490,6174,456490,6174,0.0809432246643043,0.0010947522817091,0.0809432246643043,0.0010947522817091
01-27-2021,89.17,112.67,-24.0,-18.0,-15.0,-50.0,-34.0,14.0,0.0250000002871903,2.134407371113292e-05,0.0250000002871903,2.134407371113292e-05,0.0250000027332187,6.44256964825391e-05,0.0250000027332187,6.44256964825391e-05,0.0250000061629666,6.550634114737182e-05,0.0250000061629666,6.550634114737182e-05,5639632,457317,6192,457317,6192,0.0810898654380285,0.0010979439793234,0.0810898654380285,0.0010979439793234
01-28-2021,94.69,118.04,-26.0,-17.0,-13.0,-49.0,-34.0,14.0,0.025,1e-05,0.025,1e-05,0.0250000024270668,5.824392028033396e-05,0.0250000024270668,5.824392028033396e-05,0.0250000062406082,6.655513372200865e-05,0.0250000062406082,6.655513372200865e-05,5639632,458633,6208,458633,6208,0.0813232139969416,0.0011007810438695,0.0813232139969416,0.0011007810438695
01-29-2021,112.82,146.28,-25.0,-16.0,-7.0,-47.0,-33.0,14.0,0.025,1e-05,0.025,1e-05,0.0250000021808203,5.329671210949344e-05,0.0250000021808203,5.329671210949344e-05,0.0250000061046305,6.549695474425258e-05,0.0250000061046305,6.549695474425258e-05,5639632,459747,6236,459747,6236,0.0815207446159607,0.0011057459068251,0.0815207446159607,0.0011057459068251
01-30-2021,106.17,144.48,-27.0,-16.0,3.0,-43.0,-8.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000020517727,5.067051466085711e-05,0.0250000020517727,5.067051466085711e-05,0.0250000056861237,6.164757834302657e-05,0.0250000056861237,6.164757834302657e-05,5639632,460819,6255,460819,6255,0.0817108279405464,0.0011091149209735,0.0817108279405464,0.0011091149209735
01-31-2021,85.02,105.49,-23.0,-18.0,25.0,-43.0,-10.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000018783812,4.7034892367732365e-05,0.0250000018783812,4.7034892367732365e-05,0.0250000053073428,5.818065547470896e-05,0.0250000053073428,5.818065547470896e-05,5639632,461807,6268,461807,6268,0.0818860166762654,0.0011114200359172,0.0818860166762654,0.0011114200359172
02-01-2021,87.67,114.0,-22.0,-14.0,-6.0,-48.0,-33.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000016591043,4.245385649497059e-05,0.0250000016591043,4.245385649497059e-05,0.0250000054963023,6.025387330849512e-05,0.0250000054963023,6.025387330849512e-05,5639632,462528,6270,462528,6270,0.082013861897372,0.0011117746689854,0.082013861897372,0.0011117746689854
02-02-2021,90.19,116.75,-21.0,-13.0,-2.0,-50.0,-33.0,13.0,0.025,1e-05,0.025,1e-05,0.025000001688842,4.346834406700662e-05,0.025000001688842,4.346834406700662e-05,0.0250000051469095,5.71202648935938e-05,0.0250000051469095,5.71202648935938e-05,5639632,463132,6278,463132,6278,0.0821209610839856,0.0011131932012585,0.0821209610839856,0.0011131932012585
02-03-2021,93.07,119.1,-17.0,-7.0,6.0,-46.0,-33.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000017631128,4.5487790498253126e-05,0.0250000017631128,4.5487790498253126e-05,0.0250000047959238,5.397502852510525e-05,0.0250000047959238,5.397502852510525e-05,5639632,463766,6302,463766,6302,0.082233379766623,0.0011174487980776,0.082233379766623,0.0011174487980776
02-04-2021,89.1,117.2,-35.0,-22.0,-25.0,-51.0,-36.0,16.0,0.025,1e-05,0.025,1e-05,0.0250000015715619,4.150650183457249e-05,0.0250000015715619,4.150650183457249e-05,0.0250000047932177,5.423446015570384e-05,0.0250000047932177,5.423446015570384e-05,5639632,465176,6319,465176,6319,0.0824833960797442,0.0011204631791577,0.0824833960797442,0.0011204631791577
02-05-2021,107.61,139.23,-28.0,-15.0,-30.0,-47.0,-33.0,15.0,0.025,1e-05,0.025,1e-05,0.0250000014026806,3.792379957293831e-05,0.0250000014026806,3.792379957293831e-05,0.0250000047682715,5.4211717943027714e-05,0.0250000047682715,5.4211717943027714e-05,5639632,466224,6341,466224,6341,0.0826692238075108,0.0011243641429086,0.0826692238075108,0.0011243641429086
02-06-2021,100.24,131.28,-32.0,-17.0,-45.0,-44.0,-10.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000013597294,3.693884764182161e-05,0.0250000013597294,3.693884764182161e-05,0.0250000042380131,4.9166770196162615e-05,0.0250000042380131,4.9166770196162615e-05,5639632,467217,6357,467217,6357,0.0828452991259004,0.0011272012074546,0.0828452991259004,0.0011272012074546
02-07-2021,72.4,92.25,-36.0,-22.0,-43.0,-48.0,-13.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000012128102,3.367760287947708e-05,0.0250000012128102,3.367760287947708e-05,0.0250000039877213,4.686368450268871e-05,0.0250000039877213,4.686368450268871e-05,5639632,468118,6367,468118,6367,0.0830050613231501,0.0011289743727959,0.0830050613231501,0.0011289743727959
02-08-2021,84.58,103.13,-29.0,-21.0,-35.0,-50.0,-35.0,14.0,0.025,1e-05,0.025,1e-05,0.025000001041443,2.996932603372189e-05,0.025000001041443,2.996932603372189e-05,0.025000003693466,4.413097516467188e-05,0.025000003693466,4.413097516467188e-05,5639632,468682,6370,468682,6370,0.0831050678483986,0.0011295063223983,0.0831050678483986,0.0011295063223983
02-09-2021,90.28,107.7,-25.0,-16.0,-30.0,-50.0,-34.0,14.0,0.025,1e-05,0.025,1e-05,0.0250000011434862,3.2383698143257484e-05,0.0250000011434862,3.2383698143257484e-05,0.0250000034305412,4.172527909448189e-05,0.0250000034305412,4.172527909448189e-05,5639632,469254,6376,469254,6376,0.0832064929059201,0.0011305702216031,0.0832064929059201,0.0011305702216031
02-10-2021,89.74,111.02,-22.0,-14.0,-26.0,-46.0,-33.0,14.0,0.025,1e-05,0.025,1e-05,0.0250000011781562,3.341303669303959e-05,0.0250000011781562,3.341303669303959e-05,0.0250000031564647,3.9206230742863866e-05,0.0250000031564647,3.9206230742863866e-05,5639632,469905,6387,469905,6387,0.0833219259696377,0.0011325207034785,0.0833219259696377,0.0011325207034785
02-11-2021,93.69,115.44,-27.0,-15.0,-36.0,-48.0,-33.0,15.0,0.025,1e-05,0.025,1e-05,0.0250000011065587,3.2096417133574575e-05,0.0250000011065587,3.2096417133574575e-05,0.0250000032265742,4.007341688638142e-05,0.0250000032265742,4.007341688638142e-05,5639632,470803,6411,470803,6411,0.0834811562172851,0.0011367763002976,0.0834811562172851,0.0011367763002976
02-12-2021,113.87,146.19,-26.0,-14.0,-37.0,-45.0,-34.0,15.0,0.025,1e-05,0.025,1e-05,0.0250000010813021,3.156519507730857e-05,0.0250000010813021,3.156519507730857e-05,0.0250000032255747,4.019420603407454e-05,0.0250000032255747,4.019420603407454e-05,5639632,471851,6430,471851,6430,0.0836669839450517,0.001140145314446,0.0836669839450517,0.001140145314446
02-13-2021,107.78,148.41,-26.0,-10.0,-43.0,-38.0,-9.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000009422678,2.845571917676161e-05,0.0250000009422678,2.845571917676161e-05,0.0250000029191906,3.725227946975177e-05,0.0250000029191906,3.725227946975177e-05,5639632,472791,6437,472791,6437,0.0838336614871324,0.0011413865301849,0.0838336614871324,0.0011413865301849
02-14-2021,85.65,112.25,-23.0,-17.0,-41.0,-42.0,-12.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000008814694,2.71546603477694e-05,0.0250000008814694,2.71546603477694e-05,0.0250000026645904,3.4829010615549416e-05,0.0250000026645904,3.4829010615549416e-05,5639632,473567,6444,473567,6444,0.0839712591176161,0.0011426277459238,0.0839712591176161,0.0011426277459238
02-15-2021,81.52,98.99,-24.0,-19.0,-36.0,-49.0,-44.0,16.0,0.025,1e-05,0.025,1e-05,0.0250000008701221,2.7019636789878423e-05,0.0250000008701221,2.7019636789878423e-05,0.0250000024871043,3.3175451548593445e-05,0.0250000024871043,3.3175451548593445e-05,5639632,474169,6446,474169,6446,0.0840780036711615,0.0011429823789921,0.0840780036711615,0.0011429823789921
02-16-2021,87.19,105.87,-25.0,-15.0,-26.0,-48.0,-34.0,14.0,0.025,1e-05,0.025,1e-05,0.0250000009522057,2.905136764306251e-05,0.0250000009522057,2.905136764306251e-05,0.0250000022692006,3.113208307550523e-05,0.0250000022692006,3.113208307550523e-05,5639632,474621,6448,474621,6448,0.0841581507445875,0.0011433370120603,0.0841581507445875,0.0011433370120603
02-17-2021,91.5,104.88,-26.0,-17.0,-25.0,-45.0,-32.0,14.0,0.025,1e-05,0.025,1e-05,0.0250000009531009,2.9388170998867603e-05,0.0250000009531009,2.9388170998867603e-05,0.025000002020253,2.8789296402960483e-05,0.025000002020253,2.8789296402960483e-05,5639632,475379,6458,475379,6458,0.0842925566774569,0.0011451101774016,0.0842925566774569,0.0011451101774016
02-18-2021,96.6,117.03,-26.0,-14.0,-22.0,-44.0,-32.0,14.0,0.025,1e-05,0.025,1e-05,0.0250000007876668,2.601519693017391e-05,0.0250000007876668,2.601519693017391e-05,0.0250000020016422,2.8725488650403832e-05,0.0250000020016422,2.8725488650403832e-05,5639632,476292,6472,476292,6472,0.0844544466731162,0.0011475926088794,0.0844544466731162,0.0011475926088794
02-19-2021,114.57,148.96,-23.0,-12.0,-12.0,-41.0,-31.0,13.0,0.025,1e-05,0.025,1e-05,0.025000000706089,2.434048505149261e-05,0.025000000706089,2.434048505149261e-05,0.0250000020341629,2.9149792312697867e-05,0.0250000020341629,2.9149792312697867e-05,5639632,477287,6480,477287,6480,0.084630876624574,0.0011490111411524,0.084630876624574,0.0011490111411524
02-20-2021,116.03,154.24,-22.0,-10.0,9.0,-30.0,-7.0,6.0,0.025,1e-05,0.025,1e-05,0.025000000568087,2.1418661068071876e-05,0.025000000568087,2.1418661068071876e-05,0.0250000018344238,2.7257520680319444e-05,0.0250000018344238,2.7257520680319444e-05,5639632,478157,6491,478157,6491,0.0847851420092658,0.0011509616230278,0.0847851420092658,0.0011509616230278
02-21-2021,85.92,103.04,-24.0,-16.0,14.0,-35.0,-10.0,5.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000016515028,2.5518919640466286e-05,0.0250000016515028,2.5518919640466286e-05,5639632,479036,6500,479036,6500,0.0849410032427647,0.001152557471835,0.0849410032427647,0.001152557471835
02-22-2021,90.34,114.97,-20.0,-11.0,3.0,-41.0,-32.0,12.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000015549609,2.4636754142691223e-05,0.0250000015549609,2.4636754142691223e-05,5639632,479591,6501,479591,6501,0.085039413919206,0.0011527347883691,0.085039413919206,0.0011527347883691
02-23-2021,93.14,118.56,-19.0,-10.0,-1.0,-43.0,-32.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000005359936,2.093644679440689e-05,0.0250000005359936,2.093644679440689e-05,0.0250000013706129,2.289225004609245e-05,0.0250000013706129,2.289225004609245e-05,5639632,480091,6502,480091,6502,0.0851280721862703,0.0011529121049032,0.0851280721862703,0.0011529121049032
02-24-2021,97.38,126.43,-16.0,-11.0,7.0,-40.0,-32.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000005370533,2.116921699773721e-05,0.0250000005370533,2.116921699773721e-05,0.0250000011740933,2.10342391720198e-05,0.0250000011740933,2.10342391720198e-05,5639632,480845,6511,480845,6511,0.0852617688530031,0.0011545079537104,0.0852617688530031,0.0011545079537104
02-25-2021,102.55,133.27,-19.0,-11.0,-2.0,-41.0,-32.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000004896064,2.02551213041619e-05,0.0250000004896064,2.02551213041619e-05,0.0250000012115285,2.1499322364323724e-05,0.0250000012115285,2.1499322364323724e-05,5639632,481831,6518,481831,6518,0.0854366029556538,0.0011557491694493,0.0854366029556538,0.0011557491694493
02-26-2021,120.58,161.45,-19.0,-11.0,-8.0,-38.0,-31.0,12.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000012077817,2.1547603751957204e-05,0.0250000012077817,2.1547603751957204e-05,5639632,482978,6530,482978,6530,0.0856399850202992,0.0011578769678588,0.0856399850202992,0.0011578769678588
02-27-2021,123.12,181.95,-17.0,-7.0,22.0,-27.0,-7.0,5.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000011266377,2.080429059840969e-05,0.0250000011266377,2.080429059840969e-05,5639632,483790,6543,483790,6543,0.0857839660460115,0.0011601820828025,0.0857839660460115,0.0011601820828025
02-28-2021,87.85,114.91,-22.0,-16.0,-3.0,-33.0,-11.0,5.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000010625918,2.021472345921081e-05,0.0250000010625918,2.021472345921081e-05,5639632,484594,6551,484594,6551,0.0859265285394508,0.0011616006150755,0.0859265285394508,0.0011616006150755
03-01-2021,94.14,127.12,-18.0,-10.0,-13.0,-39.0,-32.0,11.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000009042419,1.8675001401140576e-05,0.0250000009042419,1.8675001401140576e-05,5639632,485230,6554,485230,6554,0.0860393018551565,0.0011621325646779,0.0860393018551565,0.0011621325646779
03-02-2021,96.64,130.03,-15.0,-7.0,4.0,-38.0,-31.0,12.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000008128714,1.7812510348155092e-05,0.0250000008128714,1.7812510348155092e-05,5639632,485655,6558,485655,6558,0.0861146613821611,0.0011628418308144,0.0861146613821611,0.0011628418308144
03-03-2021,99.15,137.14,-13.0,-6.0,12.0,-35.0,-32.0,11.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025000000765793,1.7396894872487574e-05,0.025000000765793,1.7396894872487574e-05,5639632,486434,6575,486434,6575,0.0862527909622471,0.0011658562118946,0.0862527909622471,0.0011658562118946
03-04-2021,104.85,143.24,-17.0,-8.0,3.0,-37.0,-31.0,12.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000008135802,1.7899549080239046e-05,0.0250000008135802,1.7899549080239046e-05,5639632,487374,6589,487374,6589,0.0864194685043279,0.0011683386433724,0.0864194685043279,0.0011683386433724
03-05-2021,124.27,174.38,-16.0,-9.0,2.0,-33.0,-31.0,12.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000008190879,1.7959161001870556e-05,0.0250000008190879,1.7959161001870556e-05,5639632,488170,6602,488170,6602,0.0865606124654942,0.0011706437583161,0.0865606124654942,0.0011706437583161
03-06-2021,124.05,192.59,-15.0,-4.0,21.0,-21.0,-7.0,5.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000007026111,1.6782561948962077e-05,0.0250000007026111,1.6782561948962077e-05,5639632,489116,6614,489116,6614,0.0867283539067797,0.0011727715567256,0.0867283539067797,0.0011727715567256
03-07-2021,97.11,138.59,-9.0,-4.0,66.0,-24.0,-9.0,3.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025000000640333,1.6142583765998363e-05,0.025000000640333,1.6142583765998363e-05,5639632,490011,6618,490011,6618,0.0868870522048247,0.0011734808228622,0.0868870522048247,0.0011734808228622
