date,Michigan-apple-driving,Michigan-apple-walking,Michigan-google-retail_and_recreation,Michigan-google-grocery_and_pharmacy,Michigan-google-parks,Michigan-google-transit_stations,Michigan-google-workplaces,Michigan-google-residential,Michigan-jh_beta_7,Michigan-jh_gamma_7,Michigan-cdc_beta_7,Michigan-cdc_gamma_7,Michigan-jh_beta_14,Michigan-jh_gamma_14,Michigan-cdc_beta_14,Michigan-cdc_gamma_14,Michigan-jh_beta_30,Michigan-jh_gamma_30,Michigan-cdc_beta_30,Michigan-cdc_gamma_30,Michigan-census_pop,Michigan-jh_confirmed,Michigan-jh_death,Michigan-cdc_confirmed,Michigan-cdc_death,Michigan-jh_confirmed_ratio,Michigan-jh_death_ratio,Michigan-cdc_confirmed_ratio,Michigan-cdc_death_ratio
01-01-2021,69.93,73.77,-60.0,-43.0,-28.0,-64.0,-78.0,31.0,0.0250000004601549,2.7111770825561968e-05,0.025000000511334,2.9114051336327007e-05,0.0250000809875537,0.0001638169554921,0.0250000680624578,0.0001685260240581,0.0249996296047639,0.0002214473842158,0.0250000209812811,0.0001897066207127,9986857,528621,13018,591739,13916,0.0529316680913724,0.0013035132074084,0.0592517746073664,0.0013934313868717
01-02-2021,96.35,104.81,-37.0,-17.0,11.0,-34.0,-23.0,10.0,0.0250000004956894,2.9205228704562998e-05,0.0250000005030014,2.878093307225239e-05,0.0250000775621583,0.0001627159811265,0.0250000629334647,0.0001628560156079,0.0249996067549671,0.0002181037618793,0.0250000205770664,0.0001867301549033,9986857,538121,13306,594292,13994,0.0538829183195473,0.0013323511090626,0.059507410589738,0.001401241651903
01-03-2021,76.7,81.57,-36.0,-18.0,16.0,-33.0,-16.0,7.0,0.0250000003611229,2.3046995529151312e-05,0.0250000004917666,2.8363219880192368e-05,0.0250000605404594,0.0001419935096965,0.0250000600334479,0.0001599042402653,0.0249996216900219,0.0002060987644177,0.025000020256834,0.0001844822878241,9986857,538121,13306,596641,14077,0.0538829183195473,0.0013323511090626,0.0597426197251047,0.0014095525749492
01-04-2021,97.44,102.58,-23.0,-7.0,-7.0,-36.0,-32.0,12.0,0.0250000004393549,2.630438449818073e-05,0.0250000004797809,2.790371187991897e-05,0.0250000728993205,0.0001574166683076,0.0250000560487837,0.0001549719490602,0.0250000225157719,0.0002014954419358,0.0250000197276853,0.0001802092333168,9986857,543611,13391,600622,14150,0.0544326408198295,0.0013408622953147,0.0601412436365114,0.0014168621819657
01-05-2021,101.99,107.91,-25.0,-8.0,-9.0,-36.0,-33.0,13.0,0.0250000004608907,2.7182465254213717e-05,0.0250000004621176,2.7238166232145893e-05,0.0250000712575363,0.0001569797350043,0.025000050592358,0.0001479435754312,0.0250000211163445,0.0001893360948555,0.0250000191863998,0.0001757279052375,9986857,546642,13608,604025,14225,0.0547361397084187,0.0013625908531583,0.060481991481404,0.0014243720521881
01-06-2021,99.39,106.54,-26.0,-10.0,-6.0,-37.0,-33.0,13.0,0.0250000003882872,2.357316638485384e-05,0.0250000004580518,2.714555720811935e-05,0.02500005886223,0.0001407760273125,0.0250000484852649,0.0001459852367173,0.0250000220387175,0.0001979680048008,0.0250000187986773,0.0001726577578357,9986857,551498,13667,606972,14294,0.0552223787724205,0.0013684986177332,0.0607770793153441,0.0014312811327928
01-07-2021,100.63,107.65,-28.0,-11.0,-5.0,-37.0,-32.0,14.0,0.0250000004466684,2.5870342747077032e-05,0.0250000004425439,2.659024537572007e-05,0.0250000611552815,0.0001442555243274,0.025000044634069,0.0001408889161563,0.02500002145996,0.0001934323798256,0.0250000182501846,0.0001682153536012,9986857,555747,13873,609714,14382,0.0556478379534221,0.0013891257279442,0.0610516401706763,0.0014400927138538
01-08-2021,115.57,123.91,-33.0,-17.0,-11.0,-38.0,-31.0,15.0,0.0250000005844902,3.123112902389007e-05,0.0250000004448112,2.6684489885558e-05,0.0250000786274252,0.0001644302020215,0.0250000423480775,0.0001378045541451,0.0250000202894165,0.0001827536854604,0.0250000175410604,0.0001621201378457,9986857,559655,13913,612293,14476,0.0560391522578124,0.0013931309920628,0.061309879574725,0.0014495050845326
01-09-2021,111.66,124.93,-28.0,-9.0,27.0,-32.0,-8.0,7.0,0.025000000688804,3.5750854639057943e-05,0.0250000004293494,2.5945535410855587e-05,0.0250000957396073,0.0001829793015267,0.0250000404820585,0.0001348920150932,0.0250000201996315,0.0001822594227493,0.0250000169902412,0.0001574590660264,9986857,562553,14145,614280,14546,0.0563293336432072,0.0014163615239509,0.061508841069818,0.0014565142967402
01-10-2021,83.44,87.02,-29.0,-10.0,20.0,-36.0,-12.0,6.0,0.0250000005678905,3.0326770261146855e-05,0.0250000004327615,2.607204025416868e-05,0.0250000698566123,0.000153985171383,0.0250000381808593,0.0001315295622361,0.0250000192299321,0.0001732107895371,0.0250000166340943,0.0001546045460019,9986857,562553,14145,616064,14635,0.0563293336432072,0.0014163615239509,0.061687475849509,0.0014654260094041
01-11-2021,96.42,102.04,-29.0,-12.0,-11.0,-40.0,-31.0,12.0,0.0250000006649897,3.475799467219692e-05,0.0250000004343331,2.6086599538278117e-05,0.0250000855433064,0.0001726961407174,0.0250000362772276,0.0001285198625411,0.0250000192904285,0.0001740821805798,0.0250000161842642,0.0001508036524263,9986857,567682,14192,618799,14709,0.0568429086348187,0.0014210677092903,0.0619613357836204,0.0014728357480236
01-12-2021,97.87,102.17,-31.0,-14.0,-12.0,-39.0,-33.0,13.0,0.0250000006642186,3.528486938271725e-05,0.0250000004444132,2.6520005106530457e-05,0.0250000882462122,0.000177735844239,0.0250000337529611,0.0001246698569648,0.0250000179857878,0.0001621831181043,0.025000015714734,0.0001467320933535,9986857,570150,14296,621080,14785,0.0570900334309382,0.0014314813959987,0.0621897359699853,0.001480445749849
