date,California-apple-driving,California-apple-walking,California-google-retail_and_recreation,California-google-grocery_and_pharmacy,California-google-parks,California-google-transit_stations,California-google-workplaces,California-google-residential,California-jh_beta_7,California-jh_gamma_7,California-cdc_beta_7,California-cdc_gamma_7,California-jh_beta_14,California-jh_gamma_14,California-cdc_beta_14,California-cdc_gamma_14,California-jh_beta_30,California-jh_gamma_30,California-cdc_beta_30,California-cdc_gamma_30,California-census_pop,California-jh_confirmed,California-jh_death,California-cdc_confirmed,California-cdc_death,California-jh_confirmed_ratio,California-jh_death_ratio,California-cdc_confirmed_ratio,California-cdc_death_ratio
03-11-2021,104.27,96.45,-27.0,-13.0,-29.0,-47.0,-41.0,14.0,0.0250000004726671,2.890044891605417e-05,0.0250000005063352,3.01455194130325e-05,0.0250000044084106,9.841237949655388e-05,0.0249999888192795,9.859015193120122e-05,0.0250000079921487,8.384002457985196e-05,0.0250000082511415,8.537807913649809e-05,39512223,3676188,54755,3516862,54590,0.0930392602815589,0.0013857737136176,0.089006938435228,0.0013815977906381
03-12-2021,104.27,96.45,-27.0,-13.0,-23.0,-44.0,-38.0,13.0,0.0250000004118104,2.608369540842537e-05,0.0250000004540956,2.7727965844024693e-05,0.0250000040079194,8.978851874091753e-05,0.0249999954290397,7.455954170438225e-05,0.0250000077298628,8.147352551977373e-05,0.0250000083608531,8.674584489297187e-05,39512223,3680785,54963,3520333,54878,0.0931556040266324,0.0013910379074343,0.0890947846695439,0.0013888866743842
03-13-2021,123.19,132.29,-24.0,-9.0,-10.0,-37.0,-17.0,6.0,0.0250000003730017,2.42473033310912e-05,0.0250000004163482,2.5843992790335967e-05,0.0250000036782083,8.27435259408506e-05,0.0250000039945297,8.893842479596596e-05,0.0250000073913283,7.833274634909564e-05,0.025000008090064,8.42700008380772e-05,39512223,3682872,55117,3523563,55095,0.0932084231251681,0.0013949354355486,0.0891765315254472,0.001394378645818
03-14-2021,97.6,96.08,-24.0,-14.0,-15.0,-37.0,-17.0,6.0,0.0250000003358373,2.265185076721213e-05,0.0250000004116244,2.55258377501935e-05,0.0250000037612833,8.496434603662443e-05,0.0250000037908346,8.452760430120653e-05,0.0250000070836716,7.553127605628562e-05,0.025000007761867,8.122236408054608e-05,39512223,3685482,55206,3526335,55235,0.0932744786341178,0.0013971879030952,0.0892466870315041,0.0013979218531946
03-15-2021,98.5,91.61,-26.0,-15.0,-37.0,-48.0,-41.0,14.0,0.0250000003624773,2.4106887676614478e-05,0.0250000003960147,2.5002429309615685e-05,0.0250000036678956,8.35292825863682e-05,0.0250000037007764,8.284053308797844e-05,0.025000006875398,7.376405007840633e-05,0.0250000074512522,7.838902940388896e-05,39512223,3687155,55249,3528795,55330,0.0933168199622683,0.0013982761739323,0.089308946246836,0.0014003261724859
03-16-2021,107.04,100.53,-22.0,-9.0,-9.0,-43.0,-40.0,12.0,0.0250000003862209,2.5630899477127448e-05,0.0250000004208849,2.648638302816612e-05,0.0250000037453476,8.609967858592637e-05,0.0250000036453218,8.217781125571134e-05,0.0250000065474896,7.082802705769234e-05,0.0250000071916495,7.610431121151514e-05,39512223,3689754,55453,3530055,55372,0.0933825970763528,0.0014034391332525,0.0893408351132256,0.0014013891346989
03-17-2021,111.19,106.17,-20.0,-9.0,-15.0,-43.0,-39.0,12.0,0.0250000003273627,2.3246619252059452e-05,0.0250000004468814,2.817532920888144e-05,0.0250000035370447,8.20973373353545e-05,0.0250000037582198,8.548818024363299e-05,0.0250000064943295,7.064099452198515e-05,0.0250000069048464,7.359148877452067e-05,39512223,3693118,55670,3532496,55577,0.093467735287888,0.0014089311046862,0.0894026134646992,0.0014065774026432
03-18-2021,113.74,105.27,-22.0,-12.0,-25.0,-43.0,-40.0,13.0,0.0250000002912675,2.159577834067142e-05,0.0250000003304998,2.3331846678463167e-05,0.0250000032000738,7.49719625827117e-05,0.0250000035543398,8.162408175565534e-05,0.0250000066358935,7.2399117803252e-05,0.0250000068424658,7.331230533197396e-05,39512223,3696704,55905,3535534,55795,0.0935584920139775,0.0014148786313541,0.0894795010647717,0.001412094682701
03-19-2021,134.5,128.89,-23.0,-11.0,-17.0,-41.0,-38.0,12.0,0.025,1e-05,0.0250000002901779,2.1513233121278892e-05,0.0250000028591395,6.74957187514887e-05,0.0250000032111204,7.446107247266185e-05,0.0250000065250877,7.155758487686976e-05,0.0250000069765548,7.49874742852034e-05,39512223,3700064,55982,3538821,56027,0.0936435289910162,0.0014168273954112,0.0895626905122498,0.0014179662834966
03-20-2021,132.05,144.5,-21.0,-9.0,-7.0,-34.0,-16.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000025850009,6.166819996230167e-05,0.0250000029196208,6.821964181248261e-05,0.0250000062414137,6.898020440475084e-05,0.0250000068862258,7.436005876123444e-05,39512223,3703493,56038,3541928,56072,0.0937303122631191,0.0014182446783619,0.0896413244073865,0.0014191051715819
