date,Pennsylvania-apple-driving,Pennsylvania-apple-walking,Pennsylvania-google-retail_and_recreation,Pennsylvania-google-grocery_and_pharmacy,Pennsylvania-google-parks,Pennsylvania-google-transit_stations,Pennsylvania-google-workplaces,Pennsylvania-google-residential,Pennsylvania-jh_beta_7,Pennsylvania-jh_gamma_7,Pennsylvania-cdc_beta_7,Pennsylvania-cdc_gamma_7,Pennsylvania-jh_beta_14,Pennsylvania-jh_gamma_14,Pennsylvania-cdc_beta_14,Pennsylvania-cdc_gamma_14,Pennsylvania-jh_beta_30,Pennsylvania-jh_gamma_30,Pennsylvania-cdc_beta_30,Pennsylvania-cdc_gamma_30,Pennsylvania-census_pop,Pennsylvania-jh_confirmed,Pennsylvania-jh_death,Pennsylvania-cdc_confirmed,Pennsylvania-cdc_death,Pennsylvania-jh_confirmed_ratio,Pennsylvania-jh_death_ratio,Pennsylvania-cdc_confirmed_ratio,Pennsylvania-cdc_death_ratio
01-01-2021,69.38,62.16,-63.0,-47.0,-45.0,-70.0,-79.0,30.0,0.0250000005588599,2.937049902740521e-05,0.025000000554784,2.925502716239492e-05,0.0250003135999969,0.0002922523433485,0.0250002839944953,0.0002785020049227,0.0250001263998509,0.0003523907475893,0.0250001022104642,0.0003454312940043,12801989,653260,16245,657060,16214,0.0510280082259092,0.0012689434430852,0.0513248371014847,0.0012665219443634
01-02-2021,104.64,93.8,-30.0,-12.0,9.0,-33.0,-24.0,9.0,0.0250000006401983,3.226398976690741e-05,0.025000000640318,3.221692528124845e-05,0.0250002978219479,0.0002855484534372,0.0250002705816306,0.0002721979752929,0.0250000401534989,0.0003372965995334,0.025000039574225,0.0003329844620458,12801989,661901,16273,664958,16239,0.0517029814663955,0.0012711306032211,0.0519417724855098,0.0012684747659133
01-03-2021,75.21,63.62,-41.0,-24.0,-38.0,-40.0,-23.0,10.0,0.025000000747468,3.712017817284409e-05,0.025000000750935,3.716204853120581e-05,0.0250002752704112,0.0002764930235721,0.0250002469565671,0.0002618165137864,0.0250000412409178,0.0003467302287303,0.0249999716138318,0.0003283279128311,12801989,666341,16331,669802,16295,0.0520498025736469,0.0012756611492167,0.0523201511890066,0.0012728490861849
01-04-2021,98.13,82.64,-20.0,-8.0,-26.0,-42.0,-35.0,13.0,0.0250000007583353,3.8389789573971486e-05,0.0250000007584754,3.8286693546590965e-05,0.0250002859120413,0.0002855598917756,0.0250002551670261,0.0002694867992194,0.0249999081587395,0.0003270276716151,0.0249998963331307,0.000319071914324,12801989,671190,16432,673438,16361,0.0524285718414537,0.001283550548278,0.0526041695552152,0.0012780045350765
01-05-2021,103.61,84.92,-20.0,-7.0,-22.0,-41.0,-35.0,13.0,0.0250000007766792,3.990442588969159e-05,0.0250000007777478,3.9967541984957326e-05,0.0250002967960296,0.0002961679066732,0.0250002674435829,0.0002806577221915,0.0249998367333651,0.0003208375907434,0.0249998245249008,0.0003113616247106,12801989,680080,16631,682122,16546,0.0531229951845763,0.0012990950078148,0.0532825016487672,0.0012924554145453
01-06-2021,99.81,82.04,-23.0,-10.0,-24.0,-41.0,-34.0,13.0,0.0250000006797326,3.610529263951077e-05,0.0250000006863117,3.652125425869457e-05,0.025000240706301,0.0002677875163296,0.0250002341815239,0.00026492299961,0.0249997769476376,0.0003238870910233,0.0249997650140151,0.0003138250877702,12801989,689673,16989,691999,16914,0.0538723318696805,0.0013270594124084,0.0540540223866775,0.0013212009477589
01-07-2021,101.07,84.31,-24.0,-10.0,-15.0,-41.0,-34.0,14.0,0.0250000006130377,3.26489127017144e-05,0.0250000006167307,3.2964421814896866e-05,0.0250002129143945,0.0002526690077898,0.0250002121959877,0.0002534570017524,0.024999707921478,0.0003276677387162,0.024999702829303,0.0003203956507482,12801989,699327,17251,701406,17179,0.0546264334393663,0.0013475249822508,0.0547888300794509,0.0013419008561872
01-08-2021,115.76,99.19,-27.0,-14.0,-24.0,-43.0,-32.0,14.0,0.0250000005857109,3.0670316998784904e-05,0.0250000005736852,3.0297192402981495e-05,0.0250001919194767,0.0002402460359196,0.0250001868034886,0.0002377854064312,0.0249996580348226,0.0003195024259508,0.0249996481635372,0.0003147482435273,12801989,709585,17458,711941,17394,0.0554277151776962,0.0013636943446834,0.055611749080553,0.0013586951215158
01-09-2021,114.87,104.91,-23.0,-10.0,-1.0,-30.0,-12.0,7.0,0.0250000006058901,3.095024900971497e-05,0.0250000005809517,2.9949879819208703e-05,0.0250002011758608,0.000247570623572,0.0250001942079768,0.0002440770873594,0.0249996173895823,0.0003130840535173,0.024999618146217,0.0003068448963546,12801989,718913,17710,721578,17667,0.056156351954372,0.0013833787859058,0.0563645227315849,0.0013800199328401
01-10-2021,88.86,78.21,-22.0,-11.0,19.0,-34.0,-15.0,6.0,0.0250000007711329,3.746841562382698e-05,0.0250000007550015,3.670546682660961e-05,0.0250002366129014,0.0002720793067857,0.025000228765094,0.0002683646586901,0.0249995742912203,0.0003023077636361,0.0249995806212739,0.0002949889145097,12801989,725668,17804,728887,17770,0.0566840043371385,0.0013907213949332,0.0569354496398958,0.0013880655576254
01-11-2021,97.72,80.2,-24.0,-13.0,-24.0,-43.0,-33.0,13.0,0.0250000008744851,4.215340913315207e-05,0.0250000008682473,4.171486975174569e-05,0.0250002484792146,0.000281305456201,0.0250002389711824,0.0002765732258362,0.0249995266121211,0.0002922491519499,0.0249995419893424,0.0002846656707857,12801989,732246,17892,734116,17853,0.0571978307433321,0.0013975953267886,0.0573439017952601,0.0013945489251709
01-12-2021,99.64,82.99,-23.0,-10.0,-14.0,-42.0,-33.0,12.0,0.0250000009168184,4.465956319119496e-05,0.0250000009391679,4.5423299563038135e-05,0.0250002612039092,0.0002920215768747,0.0250002574291737,0.0002902907923029,0.0249994948382283,0.0002859866398151,0.0249995081005485,0.0002769021134694,12801989,739514,18137,741687,18080,0.0577655550243013,0.001416732977977,0.0579352942734133,0.0014122805448434
01-13-2021,101.03,85.3,-25.0,-11.0,-14.0,-43.0,-34.0,12.0,0.0250000009115475,4.470229339379454e-05,0.0250000009419553,4.5903937109422265e-05,0.0250002268426348,0.0002737658947443,0.0250002275118819,0.0002749330584738,0.0249994396197425,0.0002849337623316,0.024999458491767,0.0002757419088265,12801989,747461,18484,749858,18429,0.058386317938564,0.0014438381410888,0.0585735544687626,0.0014395419336792
