date,Texas-apple-driving,Texas-apple-walking,Texas-google-retail_and_recreation,Texas-google-grocery_and_pharmacy,Texas-google-parks,Texas-google-transit_stations,Texas-google-workplaces,Texas-google-residential,Texas-jh_beta_7,Texas-jh_gamma_7,Texas-cdc_beta_7,Texas-cdc_gamma_7,Texas-jh_beta_14,Texas-jh_gamma_14,Texas-cdc_beta_14,Texas-cdc_gamma_14,Texas-jh_beta_30,Texas-jh_gamma_30,Texas-cdc_beta_30,Texas-cdc_gamma_30,Texas-census_pop,Texas-jh_confirmed,Texas-jh_death,Texas-cdc_confirmed,Texas-cdc_death,Texas-jh_confirmed_ratio,Texas-jh_death_ratio,Texas-cdc_confirmed_ratio,Texas-cdc_death_ratio
01-01-2021,84.92,105.25,-41.0,-32.0,-36.0,-52.0,-75.0,27.0,0.025,1e-05,0.0250000004614438,2.697941753311512e-05,0.0250000024873541,5.691497225055562e-05,0.0250000494496896,0.0001358753184291,0.0250000112606809,0.0001050798694597,0.0250000139545503,0.0001267348707886,28995881,1782956,28359,1772483,31558,0.0614899750761151,0.0009780354664857,0.0611287858437548,0.0010883614814117
01-02-2021,109.88,138.54,-23.0,-14.0,-26.0,-25.0,-22.0,9.0,0.025,1e-05,0.0250000004808599,2.7735795941028094e-05,0.0250000023651292,5.381351153508737e-05,0.025000048152272,0.0001351433482505,0.0250000110395527,0.000103120305742,0.0250000139246938,0.0001266455146931,28995881,1801181,28442,1777246,31823,0.0621185126259829,0.0009808979420214,0.0612930505543183,0.0010975007105319
01-03-2021,89.88,104.86,-20.0,-15.0,-23.0,-20.0,-15.0,7.0,0.0250000003538036,2.2661037171653625e-05,0.0250000004962266,2.836694607463864e-05,0.0250000024065101,5.445114604606649e-05,0.0250000475873156,0.0001357663111703,0.0250000107631163,0.0001007277524715,0.0250000138784869,0.0001263714181288,28995881,1816886,28496,1793341,32125,0.0626601412800666,0.0009827602755025,0.0618481293946543,0.0011079159829632
01-04-2021,104.13,124.9,-14.0,-9.0,-19.0,-26.0,-35.0,11.0,0.0250000003947671,2.4737582290743533e-05,0.0250000005069535,2.8771576859165138e-05,0.0250000025017793,5.653419646032e-05,0.0250000481340241,0.0001370717253761,0.025000010477173,9.830028247479918e-05,0.025000013768141,0.0001254504307945,28995881,1831146,28570,1811523,32453,0.0631519352697026,0.0009853123621248,0.0624751839752687,0.001119227934478
01-05-2021,106.02,124.16,-15.0,-7.0,-18.0,-27.0,-34.0,12.0,0.0250000004119265,2.593220059272536e-05,0.0250000005349,2.984090438664908e-05,0.0250000025784961,5.8415468895402095e-05,0.0250000487850137,0.0001387072538756,0.0250000102294771,9.630891038789648e-05,0.0250000138079828,0.0001258539780281,28995881,1864173,28808,1843153,32779,0.0642909591193314,0.0009935204245044,0.0635660285679886,0.0011304709106786
01-06-2021,98.2,114.41,-21.0,-10.0,-32.0,-31.0,-31.0,13.0,0.0250000003878921,2.5084965747123743e-05,0.0250000005541444,3.0517075053605782e-05,0.0250000025918237,5.877422429359373e-05,0.0250000482272153,0.0001395880470137,0.0250000103803399,9.798113896300486e-05,0.0250000139542636,0.0001271548705947,28995881,1884799,29118,1867163,33124,0.0650023015337937,0.0010042115981921,0.0643940772139325,0.0011423691523633
01-07-2021,104.15,120.72,-21.0,-11.0,-23.0,-32.0,-32.0,13.0,0.0250000003553355,2.350111596525881e-05,0.0250000005707269,3.106135129981894e-05,0.0250000025295489,5.725362560641704e-05,0.0250000475903106,0.0001406053254889,0.0250000106689919,0.0001007704645899,0.0250000139942946,0.0001274007227069,28995881,1910091,29498,1891741,33467,0.0658745633560849,0.0010173169078739,0.0652417148490849,0.001154198418734
01-08-2021,120.49,141.19,-22.0,-12.0,-34.0,-32.0,-30.0,12.0,0.0250000003390235,2.2271844663206343e-05,0.025000000601194,3.2207768928397515e-05,0.0250000024612841,5.528291799438219e-05,0.0250000480821133,0.0001428825417132,0.0250000105993595,0.0001001858994144,0.0250000140160265,0.0001276474689487,28995881,1932554,30128,1915261,33807,0.0666492595965613,0.0010390441318199,0.0660528645430707,0.0011659242221334
01-09-2021,118.07,146.32,-21.0,-8.0,-36.0,-28.0,-13.0,7.0,0.0250000003852378,2.3181584987720717e-05,0.0250000006291796,3.3294035252718906e-05,0.0250000026636303,5.834047268188016e-05,0.0250000507619271,0.0001473709631688,0.025000010430983,9.82602549043648e-05,0.0250000140366988,0.0001277512286324,28995881,1951915,30313,1938551,34181,0.0673169751248461,0.0010454243483755,0.0668560820759334,0.0011788226058728
01-10-2021,69.36,78.77,-39.0,-27.0,-67.0,-40.0,-25.0,11.0,0.0250000004894153,2.7187941214125887e-05,0.02500000066329,3.462961778104948e-05,0.025000027072397,0.0001063622133393,0.0250000538450132,0.0001521482830021,0.0250000104271467,9.800033597918264e-05,0.0250000140625275,0.0001279028010087,28995881,1968189,30479,1954406,34485,0.0678782272557954,0.001051149299447,0.0674028838785757,0.0011893068536182
