date,Maryland-apple-driving,Maryland-apple-walking,Maryland-google-retail_and_recreation,Maryland-google-grocery_and_pharmacy,Maryland-google-parks,Maryland-google-transit_stations,Maryland-google-workplaces,Maryland-google-residential,Maryland-jh_beta_7,Maryland-jh_gamma_7,Maryland-cdc_beta_7,Maryland-cdc_gamma_7,Maryland-jh_beta_14,Maryland-jh_gamma_14,Maryland-cdc_beta_14,Maryland-cdc_gamma_14,Maryland-jh_beta_30,Maryland-jh_gamma_30,Maryland-cdc_beta_30,Maryland-cdc_gamma_30,Maryland-census_pop,Maryland-jh_confirmed,Maryland-jh_death,Maryland-cdc_confirmed,Maryland-cdc_death,Maryland-jh_confirmed_ratio,Maryland-jh_death_ratio,Maryland-cdc_confirmed_ratio,Maryland-cdc_death_ratio
01-01-2021,72.56,87.5,-54.0,-46.0,-50.0,-71.0,-77.0,32.0,0.025,1e-05,0.0250000003205201,2.164361687644718e-05,0.0250000021169319,4.894833536941911e-05,0.0250000024533243,5.511435547202249e-05,0.024999963470572,0.0001490032128708,0.0249999449101656,0.0001648912416141,6045680,280219,5942,283171,6327,0.0463502864855566,0.0009828505643699,0.0468385690278016,0.0010465323999947
01-02-2021,106.83,128.45,-27.0,-14.0,51.0,-34.0,-18.0,9.0,0.025,1e-05,0.0250000003363572,2.2336178232303903e-05,0.0250000021599472,4.9696523969558645e-05,0.0250000024080434,5.41504966631574e-05,0.0249999584413344,0.000147461133575,0.0249999382882965,0.000164018954657,6045680,283171,5967,285319,6371,0.0468385690278016,0.0009869857485014,0.0471938640483783,0.0010538103240661
01-03-2021,77.8,87.72,-35.0,-24.0,-47.0,-42.0,-19.0,10.0,0.025000000291478,2.059305995061581e-05,0.0250000003282933,2.2046770788120083e-05,0.0250000021037297,4.853370545841284e-05,0.0250000023955517,5.387887297601944e-05,0.0249999551844331,0.0001446496630298,0.0249999243965923,0.0001638674237558,6045680,285319,5994,287802,6415,0.0471938640483783,0.0009914517473634,0.0476045705363168,0.0010610882481375
01-04-2021,95.17,110.23,-24.0,-13.0,-30.0,-48.0,-42.0,16.0,0.0250000002962752,2.0948887208165933e-05,0.0250000003331987,2.2280387995193652e-05,0.0250000021258262,4.907760445583818e-05,0.0250000024940315,5.5911255583732496e-05,0.0249999443961274,0.0001444993562305,0.0249999134439529,0.0001631394568683,6045680,287802,6027,289758,6453,0.0476045705363168,0.0009969101904169,0.0479281073427637,0.0010673737280173
01-05-2021,100.13,116.05,-23.0,-10.0,-24.0,-47.0,-42.0,16.0,0.0250000003048673,2.143795123051511e-05,0.0250000003200629,2.178813207044452e-05,0.0250000022128424,5.098376197523386e-05,0.0250000024796307,5.566424941382937e-05,0.0249999356353467,0.0001439935153382,0.0249999037696762,0.0001629090346867,6045680,289758,6082,292904,6498,0.0479281073427637,0.0010060075955062,0.048448478913869,0.001074817059454
01-06-2021,98.72,115.03,-25.0,-14.0,-26.0,-48.0,-42.0,17.0,0.02500000027602,2.0203413415303445e-05,0.0250000003128205,2.1495937473053837e-05,0.0250000021870396,5.041594127762578e-05,0.0250000024721156,5.554502758738518e-05,0.0249999269685091,0.0001447099504762,0.0249998966161648,0.0001619331416407,6045680,292904,6132,295874,6535,0.048448478913869,0.0010142779637691,0.0489397387886887,0.0010809371319686
01-07-2021,98.49,116.52,-25.0,-13.0,-12.0,-50.0,-42.0,18.0,0.0250000002770664,2.012050039018338e-05,0.0250000003042767,2.1171383595236024e-05,0.025000002167308,4.989398224237153e-05,0.0250000024975071,5.614955110540631e-05,0.0249999169812655,0.0001468955430912,0.0249998903475254,0.000159820465938,6045680,295874,6173,299606,6564,0.0489397387886887,0.0010210596657447,0.0495570390758359,0.0010857339455611
01-08-2021,111.64,131.52,-28.0,-16.0,-25.0,-51.0,-39.0,18.0,0.025,1e-05,0.0250000002983701,2.1013208295159743e-05,0.0250000020949243,4.8294985996128544e-05,0.0250000024981175,5.633379335227221e-05,0.0249999142595375,0.0001435936090773,0.0249998847866542,0.0001573604157971,6045680,299606,6216,303364,6611,0.0495570390758359,0.0010281721824509,0.0501786399544798,0.0010935080917283
01-09-2021,110.67,134.7,-26.0,-11.0,8.0,-42.0,-13.0,9.0,0.025,1e-05,0.0250000002978364,2.0991801286656733e-05,0.0250000021679343,4.9717973179368944e-05,0.0250000025483251,5.747277897406077e-05,0.0249999105024292,0.0001411520029549,0.0249998775632889,0.0001551201528797,6045680,303364,6246,306674,6655,0.0501786399544798,0.0010331344034087,0.0507261383334877,0.0011007860157997
01-10-2021,84.23,101.3,-28.0,-15.0,15.0,-44.0,-16.0,8.0,0.0250000002960911,2.078798848312091e-05,0.0250000002958713,2.0875294848211736e-05,0.0250000022884325,5.223530364512087e-05,0.0250000025026823,5.65860033426645e-05,0.0249999074284512,0.0001376922846203,0.0249998748966646,0.0001518981581427,6045680,306674,6272,309686,6691,0.0507261383334877,0.0010374349949054,0.0512243453176483,0.001106740680949
01-11-2021,92.14,105.24,-28.0,-16.0,-31.0,-52.0,-41.0,17.0,0.0250000003079662,2.1429468740908536e-05,0.0250000002917316,2.069856386653487e-05,0.0250000023291788,5.320967478819523e-05,0.0250000025077756,5.6763466737373365e-05,0.0249999065095625,0.0001341791328115,0.0249998703889649,0.0001483841536943,6045680,309686,6301,312351,6738,0.0512243453176483,0.0010422318084979,0.0516651559460639,0.0011145148271162
