date,Alabama-census_pop,Alaska-census_pop,Arizona-census_pop,Arkansas-census_pop,California-census_pop,Colorado-census_pop,Connecticut-census_pop,Delaware-census_pop,Florida-census_pop,Georgia-census_pop,Hawaii-census_pop,Idaho-census_pop,Illinois-census_pop,Indiana-census_pop,Iowa-census_pop,Kansas-census_pop,Kentucky-census_pop,Louisiana-census_pop,Maine-census_pop,Maryland-census_pop,Massachusetts-census_pop,Michigan-census_pop,Minnesota-census_pop,Mississippi-census_pop,Missouri-census_pop,Montana-census_pop,Nebraska-census_pop,Nevada-census_pop,New Hampshire-census_pop,New Jersey-census_pop,New Mexico-census_pop,New York-census_pop,North Carolina-census_pop,North Dakota-census_pop,Ohio-census_pop,Oklahoma-census_pop,Oregon-census_pop,Pennsylvania-census_pop,Rhode Island-census_pop,South Carolina-census_pop,South Dakota-census_pop,Tennessee-census_pop,Texas-census_pop,Utah-census_pop,Vermont-census_pop,Virginia-census_pop,Washington-census_pop,West Virginia-census_pop,Wisconsin-census_pop,Wyoming-census_pop,Alabama-jh_confirmed,Alaska-jh_confirmed,Arizona-jh_confirmed,Arkansas-jh_confirmed,California-jh_confirmed,Colorado-jh_confirmed,Connecticut-jh_confirmed,Delaware-jh_confirmed,Florida-jh_confirmed,Georgia-jh_confirmed,Hawaii-jh_confirmed,Idaho-jh_confirmed,Illinois-jh_confirmed,Indiana-jh_confirmed,Iowa-jh_confirmed,Kansas-jh_confirmed,Kentucky-jh_confirmed,Louisiana-jh_confirmed,Maine-jh_confirmed,Maryland-jh_confirmed,Massachusetts-jh_confirmed,Michigan-jh_confirmed,Minnesota-jh_confirmed,Mississippi-jh_confirmed,Missouri-jh_confirmed,Montana-jh_confirmed,Nebraska-jh_confirmed,Nevada-jh_confirmed,New Hampshire-jh_confirmed,New Jersey-jh_confirmed,New Mexico-jh_confirmed,New York-jh_confirmed,North Carolina-jh_confirmed,North Dakota-jh_confirmed,Ohio-jh_confirmed,Oklahoma-jh_confirmed,Oregon-jh_confirmed,Pennsylvania-jh_confirmed,Rhode Island-jh_confirmed,South Carolina-jh_confirmed,South Dakota-jh_confirmed,Tennessee-jh_confirmed,Texas-jh_confirmed,Utah-jh_confirmed,Vermont-jh_confirmed,Virginia-jh_confirmed,Washington-jh_confirmed,West Virginia-jh_confirmed,Wisconsin-jh_confirmed,Wyoming-jh_confirmed,Alabama-jh_death,Alaska-jh_death,Arizona-jh_death,Arkansas-jh_death,California-jh_death,Colorado-jh_death,Connecticut-jh_death,Delaware-jh_death,Florida-jh_death,Georgia-jh_death,Hawaii-jh_death,Idaho-jh_death,Illinois-jh_death,Indiana-jh_death,Iowa-jh_death,Kansas-jh_death,Kentucky-jh_death,Louisiana-jh_death,Maine-jh_death,Maryland-jh_death,Massachusetts-jh_death,Michigan-jh_death,Minnesota-jh_death,Mississippi-jh_death,Missouri-jh_death,Montana-jh_death,Nebraska-jh_death,Nevada-jh_death,New Hampshire-jh_death,New Jersey-jh_death,New Mexico-jh_death,New York-jh_death,North Carolina-jh_death,North Dakota-jh_death,Ohio-jh_death,Oklahoma-jh_death,Oregon-jh_death,Pennsylvania-jh_death,Rhode Island-jh_death,South Carolina-jh_death,South Dakota-jh_death,Tennessee-jh_death,Texas-jh_death,Utah-jh_death,Vermont-jh_death,Virginia-jh_death,Washington-jh_death,West Virginia-jh_death,Wisconsin-jh_death,Wyoming-jh_death,Alabama-cdc_confirmed,Alaska-cdc_confirmed,Arizona-cdc_confirmed,Arkansas-cdc_confirmed,California-cdc_confirmed,Colorado-cdc_confirmed,Connecticut-cdc_confirmed,Delaware-cdc_confirmed,Florida-cdc_confirmed,Georgia-cdc_confirmed,Hawaii-cdc_confirmed,Idaho-cdc_confirmed,Illinois-cdc_confirmed,Indiana-cdc_confirmed,Iowa-cdc_confirmed,Kansas-cdc_confirmed,Kentucky-cdc_confirmed,Louisiana-cdc_confirmed,Maine-cdc_confirmed,Maryland-cdc_confirmed,Massachusetts-cdc_confirmed,Michigan-cdc_confirmed,Minnesota-cdc_confirmed,Mississippi-cdc_confirmed,Missouri-cdc_confirmed,Montana-cdc_confirmed,Nebraska-cdc_confirmed,Nevada-cdc_confirmed,New Hampshire-cdc_confirmed,New Jersey-cdc_confirmed,New Mexico-cdc_confirmed,New York-cdc_confirmed,North Carolina-cdc_confirmed,North Dakota-cdc_confirmed,Ohio-cdc_confirmed,Oklahoma-cdc_confirmed,Oregon-cdc_confirmed,Pennsylvania-cdc_confirmed,Rhode Island-cdc_confirmed,South Carolina-cdc_confirmed,South Dakota-cdc_confirmed,Tennessee-cdc_confirmed,Texas-cdc_confirmed,Utah-cdc_confirmed,Vermont-cdc_confirmed,Virginia-cdc_confirmed,Washington-cdc_confirmed,West Virginia-cdc_confirmed,Wisconsin-cdc_confirmed,Wyoming-cdc_confirmed,Alabama-cdc_death,Alaska-cdc_death,Arizona-cdc_death,Arkansas-cdc_death,California-cdc_death,Colorado-cdc_death,Connecticut-cdc_death,Delaware-cdc_death,Florida-cdc_death,Georgia-cdc_death,Hawaii-cdc_death,Idaho-cdc_death,Illinois-cdc_death,Indiana-cdc_death,Iowa-cdc_death,Kansas-cdc_death,Kentucky-cdc_death,Louisiana-cdc_death,Maine-cdc_death,Maryland-cdc_death,Massachusetts-cdc_death,Michigan-cdc_death,Minnesota-cdc_death,Mississippi-cdc_death,Missouri-cdc_death,Montana-cdc_death,Nebraska-cdc_death,Nevada-cdc_death,New Hampshire-cdc_death,New Jersey-cdc_death,New Mexico-cdc_death,New York-cdc_death,North Carolina-cdc_death,North Dakota-cdc_death,Ohio-cdc_death,Oklahoma-cdc_death,Oregon-cdc_death,Pennsylvania-cdc_death,Rhode Island-cdc_death,South Carolina-cdc_death,South Dakota-cdc_death,Tennessee-cdc_death,Texas-cdc_death,Utah-cdc_death,Vermont-cdc_death,Virginia-cdc_death,Washington-cdc_death,West Virginia-cdc_death,Wisconsin-cdc_death,Wyoming-cdc_death,Alabama-jh_confirmed_ratio,Alaska-jh_confirmed_ratio,Arizona-jh_confirmed_ratio,Arkansas-jh_confirmed_ratio,California-jh_confirmed_ratio,Colorado-jh_confirmed_ratio,Connecticut-jh_confirmed_ratio,Delaware-jh_confirmed_ratio,Florida-jh_confirmed_ratio,Georgia-jh_confirmed_ratio,Hawaii-jh_confirmed_ratio,Idaho-jh_confirmed_ratio,Illinois-jh_confirmed_ratio,Indiana-jh_confirmed_ratio,Iowa-jh_confirmed_ratio,Kansas-jh_confirmed_ratio,Kentucky-jh_confirmed_ratio,Louisiana-jh_confirmed_ratio,Maine-jh_confirmed_ratio,Maryland-jh_confirmed_ratio,Massachusetts-jh_confirmed_ratio,Michigan-jh_confirmed_ratio,Minnesota-jh_confirmed_ratio,Mississippi-jh_confirmed_ratio,Missouri-jh_confirmed_ratio,Montana-jh_confirmed_ratio,Nebraska-jh_confirmed_ratio,Nevada-jh_confirmed_ratio,New Hampshire-jh_confirmed_ratio,New Jersey-jh_confirmed_ratio,New Mexico-jh_confirmed_ratio,New York-jh_confirmed_ratio,North Carolina-jh_confirmed_ratio,North Dakota-jh_confirmed_ratio,Ohio-jh_confirmed_ratio,Oklahoma-jh_confirmed_ratio,Oregon-jh_confirmed_ratio,Pennsylvania-jh_confirmed_ratio,Rhode Island-jh_confirmed_ratio,South Carolina-jh_confirmed_ratio,South Dakota-jh_confirmed_ratio,Tennessee-jh_confirmed_ratio,Texas-jh_confirmed_ratio,Utah-jh_confirmed_ratio,Vermont-jh_confirmed_ratio,Virginia-jh_confirmed_ratio,Washington-jh_confirmed_ratio,West Virginia-jh_confirmed_ratio,Wisconsin-jh_confirmed_ratio,Wyoming-jh_confirmed_ratio,Alabama-jh_death_ratio,Alaska-jh_death_ratio,Arizona-jh_death_ratio,Arkansas-jh_death_ratio,California-jh_death_ratio,Colorado-jh_death_ratio,Connecticut-jh_death_ratio,Delaware-jh_death_ratio,Florida-jh_death_ratio,Georgia-jh_death_ratio,Hawaii-jh_death_ratio,Idaho-jh_death_ratio,Illinois-jh_death_ratio,Indiana-jh_death_ratio,Iowa-jh_death_ratio,Kansas-jh_death_ratio,Kentucky-jh_death_ratio,Louisiana-jh_death_ratio,Maine-jh_death_ratio,Maryland-jh_death_ratio,Massachusetts-jh_death_ratio,Michigan-jh_death_ratio,Minnesota-jh_death_ratio,Mississippi-jh_death_ratio,Missouri-jh_death_ratio,Montana-jh_death_ratio,Nebraska-jh_death_ratio,Nevada-jh_death_ratio,New Hampshire-jh_death_ratio,New Jersey-jh_death_ratio,New Mexico-jh_death_ratio,New York-jh_death_ratio,North Carolina-jh_death_ratio,North Dakota-jh_death_ratio,Ohio-jh_death_ratio,Oklahoma-jh_death_ratio,Oregon-jh_death_ratio,Pennsylvania-jh_death_ratio,Rhode Island-jh_death_ratio,South Carolina-jh_death_ratio,South Dakota-jh_death_ratio,Tennessee-jh_death_ratio,Texas-jh_death_ratio,Utah-jh_death_ratio,Vermont-jh_death_ratio,Virginia-jh_death_ratio,Washington-jh_death_ratio,West Virginia-jh_death_ratio,Wisconsin-jh_death_ratio,Wyoming-jh_death_ratio,Alabama-cdc_confirmed_ratio,Alaska-cdc_confirmed_ratio,Arizona-cdc_confirmed_ratio,Arkansas-cdc_confirmed_ratio,California-cdc_confirmed_ratio,Colorado-cdc_confirmed_ratio,Connecticut-cdc_confirmed_ratio,Delaware-cdc_confirmed_ratio,Florida-cdc_confirmed_ratio,Georgia-cdc_confirmed_ratio,Hawaii-cdc_confirmed_ratio,Idaho-cdc_confirmed_ratio,Illinois-cdc_confirmed_ratio,Indiana-cdc_confirmed_ratio,Iowa-cdc_confirmed_ratio,Kansas-cdc_confirmed_ratio,Kentucky-cdc_confirmed_ratio,Louisiana-cdc_confirmed_ratio,Maine-cdc_confirmed_ratio,Maryland-cdc_confirmed_ratio,Massachusetts-cdc_confirmed_ratio,Michigan-cdc_confirmed_ratio,Minnesota-cdc_confirmed_ratio,Mississippi-cdc_confirmed_ratio,Missouri-cdc_confirmed_ratio,Montana-cdc_confirmed_ratio,Nebraska-cdc_confirmed_ratio,Nevada-cdc_confirmed_ratio,New Hampshire-cdc_confirmed_ratio,New Jersey-cdc_confirmed_ratio,New Mexico-cdc_confirmed_ratio,New York-cdc_confirmed_ratio,North Carolina-cdc_confirmed_ratio,North Dakota-cdc_confirmed_ratio,Ohio-cdc_confirmed_ratio,Oklahoma-cdc_confirmed_ratio,Oregon-cdc_confirmed_ratio,Pennsylvania-cdc_confirmed_ratio,Rhode Island-cdc_confirmed_ratio,South Carolina-cdc_confirmed_ratio,South Dakota-cdc_confirmed_ratio,Tennessee-cdc_confirmed_ratio,Texas-cdc_confirmed_ratio,Utah-cdc_confirmed_ratio,Vermont-cdc_confirmed_ratio,Virginia-cdc_confirmed_ratio,Washington-cdc_confirmed_ratio,West Virginia-cdc_confirmed_ratio,Wisconsin-cdc_confirmed_ratio,Wyoming-cdc_confirmed_ratio,Alabama-cdc_death_ratio,Alaska-cdc_death_ratio,Arizona-cdc_death_ratio,Arkansas-cdc_death_ratio,California-cdc_death_ratio,Colorado-cdc_death_ratio,Connecticut-cdc_death_ratio,Delaware-cdc_death_ratio,Florida-cdc_death_ratio,Georgia-cdc_death_ratio,Hawaii-cdc_death_ratio,Idaho-cdc_death_ratio,Illinois-cdc_death_ratio,Indiana-cdc_death_ratio,Iowa-cdc_death_ratio,Kansas-cdc_death_ratio,Kentucky-cdc_death_ratio,Louisiana-cdc_death_ratio,Maine-cdc_death_ratio,Maryland-cdc_death_ratio,Massachusetts-cdc_death_ratio,Michigan-cdc_death_ratio,Minnesota-cdc_death_ratio,Mississippi-cdc_death_ratio,Missouri-cdc_death_ratio,Montana-cdc_death_ratio,Nebraska-cdc_death_ratio,Nevada-cdc_death_ratio,New Hampshire-cdc_death_ratio,New Jersey-cdc_death_ratio,New Mexico-cdc_death_ratio,New York-cdc_death_ratio,North Carolina-cdc_death_ratio,North Dakota-cdc_death_ratio,Ohio-cdc_death_ratio,Oklahoma-cdc_death_ratio,Oregon-cdc_death_ratio,Pennsylvania-cdc_death_ratio,Rhode Island-cdc_death_ratio,South Carolina-cdc_death_ratio,South Dakota-cdc_death_ratio,Tennessee-cdc_death_ratio,Texas-cdc_death_ratio,Utah-cdc_death_ratio,Vermont-cdc_death_ratio,Virginia-cdc_death_ratio,Washington-cdc_death_ratio,West Virginia-cdc_death_ratio,Wisconsin-cdc_death_ratio,Wyoming-cdc_death_ratio
11-01-2020,4903185,731545,7278717,3017804,39512223,5758736,3565287,973764,21477737,10617423,1415872,1787065,12671821,6732219,3155070,2913314,4467673,4648794,1344212,6045680,6892503,9986857,5639632,2976149,6137428,1068778,1934408,3080156,1359711,8882190,2096829,19453561,10488084,762062,11689100,3956971,4217737,12801989,1059361,5148714,884659,6829174,28995881,3205958,623989,8535519,7614893,1792147,5822434,578759,194458,16709,247473,113057,944208,109910,71207,25126,807412,361982,15154,65088,423527,182108,130974,90172,108642,183341,6711,146145,159707,197406,150672,120500,195735,33495,71666,101477,11190,252263,47232,513883,276692,45043,219000,124111,45429,214635,32874,178023,47324,261426,975717,116510,2196,182392,111848,24883,241422,13723,2973,85,5979,1958,17677,2288,4616,738,16789,7981,219,630,10075,4544,1733,1031,1489,5926,147,4152,10013,7699,2529,3348,3056,376,654,1781,483,16354,1026,33582,4383,531,5377,1345,691,8801,1220,3936,437,3353,18840,614,58,3655,2353,460,2047,87,199841,15757,247645,113057,926534,113717,71207,25471,799126,390428,15075,65088,423539,182108,130361,85181,113558,187720,6799,146995,159707,312283,150672,123275,204718,33495,72581,101479,11214,252102,47232,245580,280838,46015,219000,135569,45429,216803,33881,178386,47324,269798,972330,116510,2038,183419,110911,24883,241423,13723,4595,116,5981,1958,17662,2285,4616,710,18148,7981,218,630,10075,4806,1717,1029,2076,5926,148,4296,10048,7831,2529,3697,3545,376,654,1781,483,16354,1093,9273,4766,540,5303,1966,691,8817,1217,3935,437,3634,19588,614,57,3658,2366,457,2110,87,0.03965952742961973,0.022840700161985934,0.03399953590722101,0.037463334265578546,0.02389660536183955,0.01908578549181626,0.019972305174870916,0.025802966632572165,0.03759297359866172,0.03409320698629036,0.010702944898973919,0.036421730602971915,0.03342274168803363,0.027050219251631594,0.041512232692143124,0.03095169281443744,0.0243173571566227,0.03943840058303293,0.004992516061454592,0.024173459395799977,0.023171117952360702,0.019766579215062356,0.026716636830204525,0.04048856424863137,0.03189202382496381,0.031339529818166165,0.037048027096662134,0.032945409258492105,0.008229689985592526,0.028400991196990834,0.022525441988831708,0.026415883446737592,0.026381558347549468,0.05910673934666733,0.018735403067815314,0.0313651527898486,0.010770941858157586,0.016765754133986524,0.031031914522056222,0.03457620679649326,0.05349405816252364,0.038280764262266564,0.033650193280900825,0.036341711276317405,0.0035192928080462955,0.021368589303122635,0.014688059306939704,0.013884463718657007,0.04146410246986054,0.023711078359040638,0.0006063405725054225,0.00011619244202338885,0.0008214359755984468,0.0006488161590348479,0.0004473805485456994,0.00039730940956487674,0.0012947064289635028,0.0007578838404377242,0.0007816931551028863,0.0007516889927056688,0.00015467499886995435,0.00035253334377876574,0.0007950712056301932,0.0006749631882147625,0.0005492746595162707,0.0003538925086688218,0.0003332831207655529,0.0012747392119332455,0.00010935775011679705,0.0006867713805560334,0.0014527378515468183,0.0007709132112335242,0.00044843351481089545,0.0011249436772150857,0.0004979284482033843,0.0003518036486529476,0.00033808793181169637,0.0005782174669075203,0.0003552225436140474,0.0018412125838334916,0.0004893102871049571,0.0017262649239386044,0.00041790283144185346,0.0006967936992003275,0.00046000119769699975,0.0003399064587534253,0.000163831931673312,0.0006874712984052712,0.001151637638161118,0.0007644627376855658,0.0004939756448529885,0.0004909817790555637,0.00064974745895805,0.0001915184166480035,9.295035649666901e-05,0.00042821063370604645,0.00030899974563004367,0.00025667537316972325,0.00035157118139939416,0.0001503216364669923,0.040757385250607514,0.02153934481132398,0.034023166445405144,0.037463334265578546,0.023449300739166207,0.019746868062713762,0.019972305174870916,0.0261572619238337,0.03720717876375896,0.03677238817743251,0.01064714889481535,0.036421730602971915,0.033423688671107336,0.027050219251631594,0.04131794223266045,0.029238523550842787,0.02541770626453637,0.040380365316251915,0.00505798192547009,0.02431405565627026,0.023171117952360702,0.031269397368962025,0.026716636830204525,0.041420977242738855,0.03335566624977108,0.031339529818166165,0.037521040028784,0.03294605857625393,0.0082473407952131,0.028382865036663256,0.022525441988831708,0.012623909833269087,0.026776864105970164,0.06038222611808488,0.018735403067815314,0.03426080201244841,0.010770941858157586,0.016935102818788548,0.03198248755617773,0.03464670983861213,0.05349405816252364,0.0395066811886767,0.03353338358644802,0.036341711276317405,0.003266083216210542,0.021488910047531964,0.014565010959444867,0.013884463718657007,0.04146427421933851,0.023711078359040638,0.0009371459571686567,0.00015856850911427186,0.0008217107492982623,0.0006488161590348479,0.0004470009191839194,0.00039678846191247525,0.0012947064289635028,0.0007291294399875124,0.0008449679777715874,0.0007516889927056688,0.00015396872033630158,0.00035253334377876574,0.0007950712056301932,0.0007138805199296102,0.0005442034566586478,0.0003532060052572431,0.00046467142962343036,0.0012747392119332455,0.00011010168038970044,0.0007105900411533525,0.0014578158326517957,0.0007841305828250069,0.00044843351481089545,0.001242209311428964,0.0005776035173039912,0.0003518036486529476,0.00033808793181169637,0.0005782174669075203,0.0003552225436140474,0.0018412125838334916,0.0005212632980562555,0.0004766736537336275,0.0004544204642144361,0.0007086037618986382,0.00045367051355536353,0.0004968446824603971,0.000163831931673312,0.0006887211041971681,0.0011488057423295743,0.00076426851442904,0.0004939756448529885,0.0005321287757494537,0.0006755442264368515,0.0001915184166480035,9.134776414327817e-05,0.0004285621061824126,0.00031070692654512676,0.0002550014033447033,0.00036239139851134425,0.0001503216364669923
11-02-2020,4903185,731545,7278717,3017804,39512223,5758736,3565287,973764,21477737,10617423,1415872,1787065,12671821,6732219,3155070,2913314,4467673,4648794,1344212,6045680,6892503,9986857,5639632,2976149,6137428,1068778,1934408,3080156,1359711,8882190,2096829,19453561,10488084,762062,11689100,3956971,4217737,12801989,1059361,5148714,884659,6829174,28995881,3205958,623989,8535519,7614893,1792147,5822434,578759,195692,17063,248139,113641,948717,112147,73858,25311,812063,362921,15231,65845,429749,185185,132516,90619,109670,183616,6798,146995,160549,204326,153620,120865,198802,34252,72620,102114,11288,254211,48104,515753,278028,46015,221909,125195,45978,217365,34120,178917,47850,264587,982529,117706,2219,183418,112593,25238,244927,14167,2973,86,5982,1985,17687,2292,4627,740,16834,7999,219,632,10093,4587,1756,1048,1492,5934,148,4155,10023,7716,2538,3348,3061,386,656,1784,483,16357,1036,33593,4390,540,5426,1354,692,8811,1226,3946,438,3379,18882,614,58,3658,2358,461,2050,97,201596,16108,248314,113641,930628,116238,73858,25572,803671,391785,15147,65845,429761,185185,132123,89277,115350,187995,6926,147766,160549,318122,153620,124177,210365,34252,73520,102114,11320,254047,48104,246572,281852,47187,221909,137224,45978,218795,34161,179844,47850,271154,977785,117706,2061,184680,111951,25235,244928,14167,4618,120,5982,1985,17683,2292,4627,712,18195,7999,218,632,10093,4853,1741,1046,2097,5934,148,4302,10072,7868,2538,3719,3580,386,656,1784,483,16357,1115,9282,4808,556,5340,1992,692,8823,1221,3936,438,3666,19720,614,57,3666,2378,458,2113,87,0.03991120057676796,0.023324607508765693,0.034091035549259574,0.03765685246623041,0.024010721947990626,0.019474238791290312,0.02071586382807331,0.025992951064118204,0.03780952341487374,0.03418164652571533,0.010757328346065182,0.036845330192242585,0.03391375241174887,0.027507275090130016,0.04200096986754652,0.031105126326925282,0.024547454569750292,0.03949755571014762,0.005057237995197186,0.02431405565627026,0.023293279669229016,0.02045948990758554,0.027239365972815247,0.040611205957766225,0.03239174455488521,0.03204781535548074,0.0375412012357269,0.03315221696563421,0.008301764124876536,0.02862030647846984,0.0229413080418098,0.026512009806328004,0.026508941003905002,0.06038222611808488,0.018984267394410177,0.03163909970530489,0.010901106446419015,0.01697900224722893,0.03220809525742405,0.03474984238782733,0.054088637542827236,0.03874363136742452,0.03388512320077462,0.03671476669376205,0.003556152432174285,0.021488792890039844,0.014785893905534852,0.014082550147951033,0.042066084390136496,0.024478237055492874,0.0006063405725054225,0.00011755941192954637,0.00082184813614817,0.0006577630621471772,0.00044763363478688605,0.0003980040064347454,0.0012977917345784505,0.0007599377261841678,0.0007837883479064856,0.0007533843193400132,0.00015467499886995435,0.00035365249725107927,0.0007964916802407484,0.0006813503838778863,0.0005565645136241034,0.0003597277876672408,0.00033395461127078905,0.0012764600883584001,0.00011010168038970044,0.0006872676026518109,0.0014541887032910976,0.0007726154484839424,0.0004500293636180517,0.0011249436772150857,0.0004987431217115704,0.0003611601286703132,0.0003391218398600502,0.0005791914435502618,0.0003552225436140474,0.001841550338373757,0.0004940793932170912,0.0017268303731126655,0.00041857025553952465,0.0007086037618986382,0.0004641931371961913,0.00034218092576367127,0.00016406902564100132,0.0006882524270252067,0.0011573014298242054,0.0007664049702508238,0.0004951060239029954,0.0004947889744791977,0.0006511959405544533,0.0001915184166480035,9.295035649666901e-05,0.0004285621061824126,0.00030965635367430637,0.0002572333631113966,0.0003520864298332965,0.00016759998548618682,0.04111531586101687,0.022019151248385268,0.03411507824799343,0.03765685246623041,0.023552914246308034,0.02018463773994849,0.02071586382807331,0.026260983154029107,0.037418793236922494,0.036900196968699464,0.010698000949238349,0.036845330192242585,0.03391469939482258,0.027507275090130016,0.04187640844735616,0.030644482537755972,0.025818809926330778,0.0404395204433666,0.005152461070128819,0.024441584734885075,0.023293279669229016,0.03185406579867921,0.027239365972815247,0.04172405346640911,0.03427575850991653,0.03204781535548074,0.038006459857486116,0.03315221696563421,0.008325298537703968,0.028601842563601994,0.0229413080418098,0.012674903067875337,0.026873545253832825,0.061920158727242665,0.018984267394410177,0.03467905122377697,0.010901106446419015,0.01709070363987971,0.03224679783378848,0.03492988734662675,0.054088637542827236,0.03970524107307853,0.03372151375569516,0.03671476669376205,0.0033029428403385315,0.021636645645097857,0.014701585432651517,0.014080876178126013,0.04206625613961446,0.024478237055492874,0.000941836785681144,0.0001640363887389019,0.00082184813614817,0.0006577630621471772,0.0004475324002904114,0.0003980040064347454,0.0012977917345784505,0.000731183325733956,0.0008471562902553467,0.0007533843193400132,0.00015396872033630158,0.00035365249725107927,0.0007964916802407484,0.0007208618733288385,0.0005518102609450821,0.00035904128425566213,0.00046937186316008356,0.0012764600883584001,0.00011010168038970044,0.0007115824853449075,0.001461297876838066,0.0007878354521347406,0.0004500293636180517,0.0012496014144453118,0.0005833062318612944,0.0003611601286703132,0.0003391218398600502,0.0005791914435502618,0.0003552225436140474,0.001841550338373757,0.0005317553315029504,0.0004771362939669503,0.00045842500880046344,0.0007295994289178571,0.00045683585562618167,0.0005034153649344411,0.00016406902564100132,0.0006891897813691294,0.001152581603438299,0.0007644627376855658,0.0004951060239029954,0.0005368145547323879,0.0006800965971684047,0.0001915184166480035,9.134776414327817e-05,0.0004294993661193889,0.00031228278585135734,0.0002555593932863766,0.0003629066469452466,0.0001503216364669923
